"","Timestamp","LonM","LatM","Moisture","DISTANCE","VRYIELDVOL"
"27","2018-10-01T17:04:25.014Z",571.902467961104,781.624658519015,0,3.90316847,44.81631672
"28","2018-10-01T17:04:26.016Z",571.630499429703,780.491688720364,0,3.80474327,49.4313995
"29","2018-10-01T17:04:27.007Z",571.350024986344,779.430822024886,0,3.57508448,45.41708058
"30","2018-10-01T17:04:28.009Z",571.114952270395,778.54811192581,0,2.9517249,29.63123452
"31","2018-10-01T17:04:29.012Z",571.059829485723,778.379465856957,0,0.68794537,78.11029484
"32","2018-10-01T17:04:47.011Z",574.728422244898,794.78502340905,0,3.0501501,16.26521764
"33","2018-10-01T17:04:48.012Z",576.232969081022,793.775647689541,0,3.83755167,12.06609942
"34","2018-10-01T17:04:49.014Z",580.74290807939,793.117163046544,0,3.96878527,40.83468815
"35","2018-10-01T17:04:50.006Z",580.949309681539,791.99068758865,0,3.54227608,13.69438352
"36","2018-10-01T17:04:51.009Z",581.146300874057,790.866824506936,0,3.54227608,11.98237038
"41","2018-10-01T17:04:56.010Z",580.429582373089,784.719351092279,0,3.87036007,48.74101853
"42","2018-10-01T17:04:57.008Z",580.755117978533,783.674209754203,0,3.64070128,41.76671128
"43","2018-10-01T17:04:58.010Z",581.077393500447,782.617060683008,0,3.64070128,41.76671128
"44","2018-10-01T17:04:59.004Z",580.383973892096,781.414566366808,0,3.67350968,67.92591071
"45","2018-10-01T17:05:00.004Z",580.743165756473,780.379242879588,0,3.57508448,69.79597033
"46","2018-10-01T17:05:01.009Z",579.68423799906,779.099941604005,0,3.64070128,95.34093389
"47","2018-10-01T17:05:02.010Z",579.43053934486,777.946404876546,0,3.57508448,80.90905171
"48","2018-10-01T17:05:03.003Z",579.761055109677,777.024546774049,0,3.1485753,57.73578401
"49","2018-10-01T17:05:04.014Z",579.964755333133,776.505227477699,0,1.77062254,102.66754159
"61","2018-10-01T17:06:03.018Z",564.705686271354,781.111311440685,21.63,3.87036007,45.07556608
"62","2018-10-01T17:06:04.008Z",562.833831543361,781.138184227895,21.63,4.46091125,68.17348858
"63","2018-10-01T17:06:05.012Z",560.86299881789,781.17899104247,21.63,4.69057005,80.22999753
"64","2018-10-01T17:06:06.008Z",558.930166539183,781.205863827323,21.63,4.59214485,101.23168865
"65","2018-10-01T17:06:07.010Z",556.891286419156,781.256402353279,21.63,4.85461204,110.95847452
"66","2018-10-01T17:06:08.016Z",554.734869938014,781.297872697344,21.63,5.11707923,129.36940914
"67","2018-10-01T17:06:09.017Z",552.547854226391,781.312580846115,21.63,5.21550443,125.1089243
"68","2018-10-01T17:06:10.006Z",550.297872616391,781.336910112779,21.63,5.34673802,127.26269782
"69","2018-10-01T17:06:11.016Z",548.005913726155,781.3484112233,21.63,5.44516322,131.06039127
"70","2018-10-01T17:06:12.008Z",545.654744793261,781.3547147126,21.63,5.57639682,134.11963238
"71","2018-10-01T17:06:13.009Z",543.34301242077,781.389992152209,21.63,5.51078002,138.1077068
"72","2018-10-01T17:06:14.014Z",541.182287746276,781.439867154175,21.63,5.14988763,148.80945102
"73","2018-10-01T17:06:15.008Z",539.034156244864,781.46065762413,18.32,5.11707923,153.08297997
"74","2018-10-01T17:06:16.010Z",536.92501943155,781.527784283626,18.32,5.01865404,159.80687028
"75","2018-10-01T17:06:17.012Z",534.772579733646,781.575558120134,18.32,5.11707923,166.28732083
"76","2018-10-01T17:06:18.005Z",532.608430577442,781.599445038781,18.32,5.14988763,180.26806984
"77","2018-10-01T17:06:19.011Z",530.478194642983,781.624769595752,18.32,5.05146243,180.84428719
"78","2018-10-01T17:06:20.016Z",528.386180115774,781.641025971619,18.32,4.98584564,194.57262601
"79","2018-10-01T17:06:21.010Z",526.327857873373,781.646555347371,18.32,4.88742044,203.74540171
"80","2018-10-01T17:06:22.015Z",524.27505895707,781.673428132224,18.32,4.88742044,207.71546458
"81","2018-10-01T17:06:23.011Z",522.16934659564,781.707931460642,18.32,5.01865404,181.36426396
"82","2018-10-01T17:06:24.008Z",520.029610548706,781.737458343813,18.32,5.08427083,185.33689862
"83","2018-10-01T17:06:25.011Z",517.855629884039,781.777269875939,18.32,5.18269603,168.42983168
"84","2018-10-01T17:06:26.013Z",515.697225011279,781.842405961108,20.23,5.14988763,156.68814673
"85","2018-10-01T17:06:27.019Z",513.495517261777,781.913956130634,20.23,5.24831283,180.42276667
"86","2018-10-01T17:06:28.011Z",511.320211006883,781.97986632935,20.23,5.18269603,166.05292824
"87","2018-10-01T17:06:29.008Z",509.130654570717,782.056061171522,20.23,5.21550443,169.97848412
"88","2018-10-01T17:06:30.012Z",506.921766490066,782.100185617048,20.23,5.24831283,163.80023893
"89","2018-10-01T17:06:31.014Z",504.685261789907,782.180803968464,20.23,5.31392963,152.97894229
"90","2018-10-01T17:06:32.008Z",502.461792110018,782.17383695046,20.23,5.28112123,126.5375343
"91","2018-10-01T17:06:33.012Z",500.250584238621,782.22393312997,20.23,5.24831283,112.58659248
"92","2018-10-01T17:06:34.016Z",498.010544603983,782.235766001307,20.23,5.31392963,88.47797474
"93","2018-10-01T17:06:35.008Z",495.800993725078,782.26750463635,20.23,5.24831283,44.57413033
"94","2018-10-01T17:06:36.008Z",493.487604330268,782.271928140094,20.23,5.51078002,29.17996237
"95","2018-10-01T17:06:37.011Z",491.111690884269,782.224154305157,20.23,5.64201362,18.82602759
"104","2018-10-01T17:07:21.010Z",488.650373620028,795.036843292815,20.47,1.21287976,78.38560503
"105","2018-10-01T17:07:22.013Z",489.544228007357,795.034538083573,20.47,2.03308973,41.56678985
"106","2018-10-01T17:07:23.020Z",490.694332189208,795.044897364371,20.47,2.68925771,28.28229266
"108","2018-10-01T17:07:25.018Z",493.972662683608,791.276079857603,20.47,4.00159367,51.05941986
"109","2018-10-01T17:07:26.014Z",495.724771809842,791.264246987052,20.47,4.16563566,54.82661281
"110","2018-10-01T17:07:27.025Z",497.454345760944,791.266348146223,20.47,4.10001886,68.0973534
"111","2018-10-01T17:07:28.016Z",499.164809001359,791.266348149366,20.47,4.06721047,86.26854158
"112","2018-10-01T17:07:29.014Z",500.817277336571,791.256505854714,20.47,3.93597687,91.04735394
"113","2018-10-01T17:07:30.011Z",502.394959859197,791.232287176036,20.47,3.73912648,80.82081318
"114","2018-10-01T17:07:31.018Z",503.961816658713,791.207847317457,20.47,3.73912648,72.52407302
"115","2018-10-01T17:07:32.013Z",505.510667416527,791.187609791363,20.47,3.67350968,79.78923527
"116","2018-10-01T17:07:33.017Z",507.097629122541,791.1656028567,20.47,3.77193488,85.22270809
"117","2018-10-01T17:07:34.018Z",508.667247586677,791.125459569258,20.47,3.73912648,98.98771275
"118","2018-10-01T17:07:35.021Z",510.332088165883,791.095600917413,20.47,3.96878527,101.61520643
"119","2018-10-01T17:07:36.010Z",512.042993288021,791.024493099047,17.55,4.06721047,122.56530656
"120","2018-10-01T17:07:37.020Z",513.850667049254,790.981142767854,17.55,4.29686926,131.8875137
"121","2018-10-01T17:07:38.016Z",515.656131477221,790.939119486999,17.55,4.29686926,157.31001269
