"","Longitude","Latitude","Yield","SWATHWIDTH","Swaths","DISTANCE","Heading","WetMass","Moisture"
"1",1151.10432725244,1419.93323689716,0,5,7,0.12641928,180.97654724,0,19.36
"2",1151.09825160239,1419.85593617404,0,5,7,0.25765288,180.97654724,0,19.36
"3",1151.08764683228,1419.76470142557,0,5,7,0.35607808,180.97654724,0,19.36
"4",1151.08908289393,1419.73506395213,0,5,7,0.12641928,180.97654724,0,19.36
"5",1151.09162363108,1419.73440041555,0,5,7,0.06080249,180.97654724,0,19.36
"6",1151.08654217877,1419.72809693396,0,5,7,0.06080249,180.97654724,0,19.36
"7",1151.08455377387,1419.72643812041,0,5,7,0.06080249,180.97654724,0,19.36
"8",1151.08444330711,1419.72157225517,0,5,7,0.06080249,180.97654724,0,19.36
"9",1151.08455377387,1419.72312048152,0,5,7,0.06080249,180.97654724,0,19.36
"10",1151.08521657132,1419.7235628429,0,5,7,0.06080249,180.97654724,0,19.36
"11",1151.08897242874,1419.72112991657,0,5,7,0.0328084,180.97654724,0,19.36
"12",1151.08422237515,1419.71803346387,0,5,7,0.0328084,180.97654724,0,19.36
"13",1151.07947232156,1419.71792286488,0,5,7,0.06080249,180.97654724,0,19.36
"14",1151.08024558577,1419.71770168969,0,5,7,0.0328084,180.97654724,0,19.36
"15",1151.07549553218,1419.71692758791,0,5,7,0.0328084,180.97654724,0,19.36
"16",1151.07869906677,1419.69016539197,0,5,7,0.09361089,180.97654724,0,19.36
"17",1151.08300725487,1419.66428788501,0,5,7,0.12641928,180.97654724,0,19.36
"18",1154.2301738955,1419.53693735429,0,5,7,0.15922768,180.97654724,0,19.36
"19",1156.31526984572,1419.31091625432,0,5,7,0.42169488,181.63654724,0,19.36
"20",1151.04334984197,1419.22448137174,0,5,7,0.84820406,182.18654724,0,19.36
"21",1150.99253532672,1418.80911460449,0,5,7,1.37313844,183.01654724,0,19.36
"22",1150.91322048993,1418.13198688645,0,5,7,2.22615682,183.31654724,0,16.78
"23",1150.80162138223,1417.32688007897,0,5,7,2.66839425,184.10935974,0,16.78
"24",1150.72661472256,1416.56426801188,0,5,7,2.50435226,183.87935974,0,16.78
"25",1150.65204992837,1415.78794310565,0,5,7,2.56996906,183.69935974,0,16.78
"26",1150.49817029582,1414.86298884797,31.9860836,5,7,3.06209504,184.95935974,1829.44879452,16.78
"27",1150.30562744811,1413.94654990003,41.12496463,5,7,3.06209504,186.44935974,2352.1484501,16.78
"28",1150.11253226814,1413.05167541039,40.34449725,5,7,2.99647824,187.45935974,2307.50950269,16.78
"29",1149.88916929529,1411.9845052831,31.4939584,5,7,3.55422103,187.80935974,1801.30162073,16.78
"30",1149.66790518153,1410.88382710588,25.58883689,5,7,3.65264622,188.08935974,1463.55732058,16.78
"31",1149.45128065616,1409.80338643482,16.85118714,5,7,3.58702942,188.31935974,963.80614751,16.78
"32",1149.21145819354,1408.71542584178,22.72845456,5,7,3.61983782,188.66935974,1299.95732915,16.78
"33",1148.98489167353,1407.62569574662,47.15767784,5,7,3.61983782,188.63935974,2697.1903768,16.78
"34",1148.77655211309,1406.506438689,63.36999516,5,7,3.71826302,188.26935974,3624.45626998,16.78
"35",1148.58102664077,1405.40299566747,64.81483836,5,7,3.65264622,187.95935974,3707.09429105,16.78
"36",1148.40505370406,1404.28086325456,61.19978984,5,7,3.71826302,187.34935974,3641.67458955,20.01
"37",1148.24774959241,1403.16934729489,57.07361221,5,7,3.68545462,186.85935974,3396.14766406,20.01
"38",1148.09331760563,1402.00596573489,71.83049307,5,7,3.84949662,186.32935974,4274.25130136,20.01
"39",1147.94087401433,1400.78242453822,87.08188999,5,7,4.04634701,185.80935974,5181.78096349,20.01
"40",1147.81284350097,1399.66095569489,110.10174957,5,7,3.71826302,185.30935974,6551.57059728,20.01
"41",1147.72237153828,1398.73688568459,104.18032261,5,7,3.06209504,184.82935974,6199.21791516,20.01
"42",1147.59688175108,1397.76924425251,83.05255059,5,7,3.19332864,184.66935974,4942.01636742,20.01
"43",1147.45471154215,1396.79430425044,81.20744023,5,7,3.22613704,185.23935974,4832.22364521,20.01
"44",1147.32789615849,1395.82754753092,108.15362572,5,7,3.19332864,185.13935974,6435.64808901,20.01
"45",1147.24847084394,1394.85371307243,108.3877539,5,7,3.22613704,184.49935974,6449.57981393,20.01
"46",1147.18660966954,1393.81076130616,132.16281641,5,7,3.45579583,183.60935974,7864.30756478,20.01
"47",1147.16484779708,1392.7178239063,134.34731388,5,7,3.61983782,182.53935974,7994.29541189,20.01
"48",1147.12397525291,1391.44352295148,140.9298405,5,7,4.210389,181.80935974,8385.98662474,20.01
"49",1147.06527754812,1389.98606015596,119.06913752,5,7,4.80719889,181.84373474,7085.17224717,20.01
"50",1147.06284728872,1388.44314187438,134.74097422,5,7,5.10247448,180.81373474,8017.72004861,20.01
"51",1147.14945291625,1386.94821848464,131.48245966,5,7,4.93843249,179.34373474,7823.823146,20.01
"52",1147.1487901188,1385.48691414142,171.08280596,5,7,4.80719889,179.47373474,9875.29176932,17.54
"53",1147.17254038674,1383.92508572622,160.15263311,5,7,5.13528288,179.75373474,9244.37713508,17.54
"54",1147.17552297838,1382.32156569018,159.90428943,5,7,5.29932488,179.66373474,9230.04216863,17.54
"55",1147.22147698585,1380.73021023473,161.9090645,5,7,5.23370808,179.36373474,9345.76238123,17.54
"56",1147.21617460001,1379.13365738266,158.79440587,5,7,5.26651648,179.92373474,9165.97714481,17.54
"57",1147.21617460001,1377.54042202568,158.79440587,5,7,5.26651648,180.00373474,9165.97714481,17.54
"58",1147.22004092263,1375.93546431907,176.02029766,5,7,5.29932488,179.78373474,10160.2951097,17.54
"59",1147.2021453712,1374.35461482709,179.35141987,5,7,5.20089968,180.03373474,10352.57512043,17.54
"60",1147.19805811663,1372.77210646656,173.59340758,5,7,5.20089968,180.07373474,10020.20945069,17.54
"61",1147.20545936314,1371.18616986815,171.97540031,5,7,5.23370808,180.03373474,9926.81436174,17.54
"62",1147.20833148802,1369.60266618586,171.97540031,5,7,5.23370808,179.95373474,9926.81436174,17.54
"63",1147.20313956894,1367.99947792401,160.42753645,5,7,5.29932488,179.89373474,9260.24518619,17.54
"64",1147.1880056772,1366.41508959673,162.43887164,5,7,5.23370808,180.04373474,9376.34406442,17.54
"65",1147.17574391191,1364.832470704,187.02192332,5,7,5.23370808,180.29373474,10795.33416418,17.54
"66",1147.14735405558,1363.22972483654,188.51411157,5,7,5.29932488,180.43373474,10661.66520132,15.84
"67",1147.14989478173,1361.54912518656,185.49516198,5,7,5.52898367,180.07373474,10490.92450969,15.84
