"","Longitude","Latitude","AppliedRate","ControlRate","Variety","DISTANCE","Heading"
"1",1630.516330806,1401.94664906489,98613.797301045,0,"18425rr",1.66305882,275.10217285
"2",1629.91203710969,1402.00824687264,100349.89870625,0,"18425rr",1.46620843,274.89217285
"3",1627.88919217727,1402.08094953506,97891.433429645,0,"18425rr",4.81266512,274.45217285
"4",1625.76646565878,1402.19495299229,124641.15438171,0,"18425rr",5.07513231,273.47217285
"5",1623.73669913371,1402.28314407451,139501.21116476,0,"18425rr",4.84547352,272.93217285
"6",1621.66442882624,1402.40952513748,144213.775468645,0,"18425rr",4.97670712,272.17217285
"7",1619.49698248607,1402.49577122965,142062.871280145,0,"18425rr",5.17355751,271.92217285
"8",1617.39472700902,1402.60275941647,142595.03289969,0,"18425rr",5.10794071,271.03217285
"9",1615.16382810756,1402.60748732969,144049.87778354,0,"18425rr",5.33759951,270.89217285
"10",1612.45479288475,1402.72413758609,133999.50985851,0,"18425rr",6.45308507,271.97217285
"11",1609.71517027081,1402.72080585381,141024.852607795,0,"18425rr",6.55151027,273.26217285
"12",1606.72733438479,1402.79504559866,136279.91345253,0,"18425rr",7.14206145,273.45217285
"13",1603.69594967818,1402.9327089444,137032.628747095,0,"18425rr",7.24048665,272.02217285
"14",1600.68962079962,1402.98436346026,145197.16157929,0,"18425rr",7.20767825,272.99217285
"15",1597.66801618273,1403.07022413126,145796.0963298,0,"18425rr",7.20767825,273.33217285
"16",1594.7304419984,1403.2436061482,147886.297671975,0,"18425rr",7.01082785,272.67217285
"17",1591.74277523921,1403.36825442593,152716.22081211,0,"18425rr",7.14206145,272.56217285
"18",1588.7932591147,1403.46424739764,150555.199482545,0,"18425rr",7.07644465,272.20217285
"19",1585.80037136847,1403.55199362289,149365.423694365,0,"18425rr",7.14206145,271.87217285
"20",1582.83031617408,1403.62105852154,148582.35697663,0,"18425rr",7.07644465,272.15217285
"21",1579.99163046276,1403.67486176791,151668.08499871,0,"18425rr",6.78116906,270.95217285
"22",1576.89435050246,1403.76808719242,149600.14136686,0,"18425rr",7.37172024,270.34217285
"23",1573.27261745386,1403.77177870536,137842.000031575,0,"18425rr",8.6512478,270.27217285
"24",1569.66492891297,1403.73083606857,139592.265434265,0,"18425rr",8.6184394,271.35217285
"25",1566.13606212974,1403.81099065963,144221.86918149,0,"18425rr",8.42158901,271.36217285
"26",1562.47157129455,1403.88982569667,143533.903589685,0,"18425rr",8.7168646,271.01217285
"27",1559.00810827117,1403.92842105564,145486.51181349,0,"18425rr",8.22473861,271.01217285
"28",1555.12048074663,1403.91452873446,148980.972334235,0,"18425rr",9.27460738,270.33217285
"29",1551.48438327225,1403.9380023958,147730.493699715,0,"18425rr",8.6512478,270.52217285
"30",1547.79680221075,1403.96423260901,149745.82819807,0,"18425rr",8.7824814,271.07217285
"31",1544.15575197459,1404.00482255595,149871.28074716,0,"18425rr",8.6512478,271.17217285
"32",1540.46253267401,1404.0819833407,151718.670703985,0,"18425rr",8.7824814,270.98217285
"33",1536.76052731668,1404.14741000254,151971.599230385,0,"18425rr",8.8152898,271.05217285
"34",1533.08420213094,1404.21096869965,149365.42369436,0,"18425rr",8.749673,270.86217285
"35",1529.38779466344,1404.22004892942,152153.707769395,0,"18425rr",8.7824814,271.16217285
"36",1525.92366198191,1404.27631658157,153578.20123008,0,"18425rr",8.25754701,271.17217285
"37",1522.00628674602,1404.30353720776,151069.150248195,0,"18425rr",9.30741578,271.01217285
"38",1518.28799597093,1404.37039759709,151012.49425828,0,"18425rr",8.84809819,270.98217285
"39",1514.57967438059,1404.42370504646,151407.062759465,0,"18425rr",8.8152898,271.08217285
"40",1510.89438080746,1404.48281063761,147934.859949045,0,"18425rr",8.7824814,271.26217285
"41",1507.38431540763,1404.52046038518,152153.707769395,0,"18425rr",8.35597221,271.39217285
"42",1503.41265814754,1404.55585420958,154260.096537255,0,"18425rr",9.43864938,270.98217285
"43",1499.74049770365,1404.60172087727,152633.260255445,0,"18425rr",8.749673,270.84217285
"44",1496.23051172605,1404.61540431746,152307.48831345,0,"18425rr",8.35597221,271.21217285
"45",1492.30941299829,1404.66195081782,152934.751058915,0,"18425rr",9.34022418,271.47217285
"46",1488.58919166627,1404.73272290282,153088.53160297,0,"18425rr",8.84809819,271.37217285
"47",1484.94605843203,1404.76706835884,152760.736232755,0,"18425rr",8.6840562,271.29217285
"48",1481.2494431823,1404.81939623496,152760.736232755,0,"18425rr",8.7824814,271.23217285
"49",1477.63446535615,1404.89926660913,154685.016461605,0,"18425rr",8.6184394,271.32217285
"50",1474.16789473092,1404.94470625374,152683.84596073,0,"18425rr",8.25754701,271.02217285
"51",1470.27288311302,1404.98054091745,153436.561255295,0,"18425rr",9.27460738,271.12217285
"52",1466.58970849328,1405.03220734012,153859.457751435,0,"18425rr",8.749673,271.11217285
"53",1462.91620528888,1405.0853609204,154231.7685423,0,"18425rr",8.749673,271.74217285
"54",1459.25202708777,1405.15628135288,154814.51586712,0,"18425rr",8.7168646,271.98217285
"55",1455.55031537277,1405.24607159194,154187.25312165,0,"18425rr",8.8152898,271.83217285
"56",1451.9019400593,1405.36055168983,154521.1187765,0,"18425rr",8.6840562,271.82217285
"57",1448.27330648512,1405.39548814305,153562.01380439,0,"18425rr",8.6512478,272.08217285
"58",1444.66198013976,1405.46761581837,154007.168010855,0,"18425rr",8.585631,271.66217285
"59",1441.01098889724,1405.55163217008,153671.278927795,0,"18425rr",8.6840562,271.47217285
"60",1437.34401875187,1405.53058409346,151322.078774595,0,"18425rr",8.7168646,271.64217285
"61",1433.70763938374,1405.64951603693,152406.636295795,0,"18425rr",8.6512478,271.26217285
"62",1430.3311496242,1405.67246854204,152151.684341185,0,"18425rr",8.06069662,271.64217285
"63",1426.47089852217,1405.71871614022,152710.150527475,0,"18425rr",9.17618218,271.63217285
"64",1422.77954268727,1405.80906650115,151081.29081746,0,"18425rr",8.7824814,271.63217285
"65",1419.10909872935,1405.87488772663,150126.232701775,0,"18425rr",8.749673,272.08217285
"66",1415.6327665305,1405.98467121175,148485.23242249,0,"18425rr",8.29035541,272.35217285
"67",1411.76449980018,1406.04472327865,148736.13752068,0,"18425rr",9.20899058,272.40217285
"68",1408.1228839885,1406.17317451772,150184.9121199,0,"18425rr",8.6840562,271.81217285
"69",1404.47853814806,1406.26572748248,150563.293195395,0,"18425rr",8.6840562,271.61217285
"70",1400.7715391805,1406.31299652613,152406.636295795,0,"18425rr",8.8152898,271.69217285
"71",1397.08128604667,1406.41266857436,153624.74007894,0,"18425rr",8.7824814,271.42217285
"72",1393.45037092277,1406.43791995373,151755.09241179,0,"18425rr",8.6512478,271.25217285
"73",1389.82080348707,1406.49907934942,150555.199482545,0,"18425rr",8.6512478,271.35217285
"74",1386.13086547708,1406.5522383421,152404.612867585,0,"18425rr",8.7824814,271.06217285
"75",1382.44472740009,1406.59567587654,152046.466074205,0,"18425rr",8.7824814,271.02217285
"76",1378.81769476167,1406.65771386042,150251.68525087,0,"18425rr",8.6184394,270.97217285
"77",1375.21408939601,1406.72095245601,149998.756724465,0,"18425rr",8.585631,271.08217285
"78",1371.55069045835,1406.78046117492,150059.459570805,0,"18425rr",8.7168646,271.38217285
"79",1367.10200027028,1406.8643801184,130555.635043045,0,"18425rr",10.58694334,271.49217285
"80",1363.20572567987,1406.96244352551,138281.08395341,0,"18425rr",9.27460738,271.35217285
"81",1359.16024018761,1407.04671914898,148369.89701445,0,"18425rr",9.63549977,270.99217285
"82",1355.47738229605,1407.10791210971,148258.608462835,0,"18425rr",8.749673,270.82217285
"83",1351.48866428718,1407.16164201369,153288.85099588,0,"18425rr",9.50426617,270.98217285
"84",1347.93204606717,1407.20433106571,153958.605733785,0,"18425rr",8.45439741,271.03217285
"85",1343.91753260022,1407.30838287987,152930.704202495,0,"18425rr",9.56988297,270.73217285
"86",1340.14548717943,1407.37492294137,151823.88897097,0,"18425rr",8.97933179,271.00217285
"87",1336.35997706322,1407.36570903921,153232.195005965,0,"18425rr",9.01214019,271.22217285
"88",1332.62404607243,1407.453801012,150595.66804677,0,"18425rr",8.88090659,270.58217285
"89",1328.84313105187,1407.48710815516,152337.839736615,0,"18425rr",9.01214019,270.52217285
"90",1325.08011721027,1407.51796782436,152859.884215105,0,"18425rr",8.94652339,270.67217285
"91",1321.28492957366,1407.55763835754,149980.545870565,0,"18425rr",9.04494859,270.43217285
"92",1317.58406133114,1407.55057003258,150470.215497675,0,"18425rr",8.8152898,270.68217285
"93",1314.14118387118,1407.565548704,154476.603355855,0,"18425rr",8.19193022,270.81217285
"94",1310.24791585173,1407.62803673094,152434.96429075,0,"18425rr",9.27460738,270.96217285
"95",1306.52077478573,1407.67489474983,153515.474955535,0,"18425rr",8.88090659,271.28217285
"96",1302.80499127159,1407.76940403467,153292.8978523,0,"18425rr",8.84809819,271.30217285
"97",1299.13163387895,1407.81897195338,152912.493348595,0,"18425rr",8.749673,271.85217285
"98",1295.40751573679,1407.92067193852,150931.55712983,0,"18425rr",8.84809819,271.92217285
"99",1291.69297114072,1408.01336627623,152710.15052748,0,"18425rr",8.84809819,271.91217285
"100",1287.93463686556,1408.11440586479,152760.736232755,0,"18425rr",8.94652339,271.57217285
"101",1284.14003935185,1408.19453177124,150929.53370162,0,"18425rr",9.04494859,270.88217285
"102",1280.36280232489,1408.24131247409,150421.653220605,0,"18425rr",8.97933179,270.32217285
"103",1276.62073384937,1408.2487092046,149183.31515535,0,"18425rr",8.91371499,270.58217285
"104",1272.85421299653,1408.28556802785,151947.318091855,0,"18425rr",8.94652339,270.87217285
"105",1269.3169098511,1408.28196623279,153543.80295049,0,"18425rr",8.42158901,270.95217285
"106",1265.36014311903,1408.37185644327,157068.6148944,0,"18425rr",9.43864938,271.06217285
"107",1261.67444690268,1408.41905395732,153327.296131895,0,"18425rr",8.7824814,271.02217285
"108",1258.12855757396,1408.46516348514,154399.71308383,0,"18425rr",8.45439741,270.87217285
"109",1254.17571508632,1408.46025448605,154355.19766318,0,"18425rr",9.40584098,270.89217285
"110",1250.41875917377,1408.49675451086,153576.177801865,0,"18425rr",8.94652339,271.04217285
"111",1246.71659457481,1408.62205717325,152758.712804545,0,"18425rr",8.8152898,270.63217285
"112",1242.95724530479,1408.59989797099,155893.003103695,0,"18425rr",8.94652339,271.26217285
"113",1239.27232837386,1408.65254856525,157226.442294875,0,"18425rr",8.7824814,271.51217285
"114",1235.58192661985,1408.66822630581,155682.566569725,0,"18425rr",8.7824814,271.42217285
"115",1231.8273504434,1408.76229634252,155269.787214645,0,"18425rr",8.94652339,270.37217285
"116",1228.13174277267,1408.79941405565,153205.89043922,0,"18425rr",8.7824814,270.49217285
"117",1224.39241067899,1408.83066891709,153003.5476181,0,"18425rr",8.91371499,270.56217285
"118",1220.69050886742,1408.81453450627,153903.973172085,0,"18425rr",8.8152898,270.86217285
"119",1216.94199401556,1408.85027259624,151524.42159571,0,"18425rr",8.91371499,270.75217285
"120",1213.25805383224,1408.9247335202,152090.98149485,0,"18425rr",8.7824814,271.09217285
"121",1209.54265426941,1408.9742655794,153280.757283035,0,"18425rr",8.84809819,271.35217285
"122",1205.85592517159,1409.01218215708,152163.824910455,0,"18425rr",8.7824814,271.51217285
"123",1202.20486188816,1409.09596161188,153847.31718217,0,"18425rr",8.6840562,270.92217285
"124",1198.52392654742,1409.18886786759,151933.154094375,0,"18425rr",8.7824814,270.66217285
"125",1194.83755261499,1409.21269542493,151111.642240625,0,"18425rr",8.7824814,270.84217285
"126",1191.18917293269,1409.26105791906,150613.878900675,0,"18425rr",8.6840562,271.18217285
"127",1187.44579791099,1409.3303139324,153371.81155254,0,"18425rr",8.91371499,271.32217285
"128",1183.73835028701,1409.40020351371,151000.35368901,0,"18425rr",8.8152898,271.27217285
"129",1180.0579836222,1409.48295096148,149923.88988065,0,"18425rr",8.749673,270.85217285
"130",1176.33702267899,1409.52420044066,149804.507616195,0,"18425rr",8.84809819,270.85217285
"131",1172.64740795749,1409.54830324136,150621.97261352,0,"18425rr",8.7824814,270.70217285
"132",1168.89776759811,1409.58497147167,151194.602797285,0,"18425rr",8.91371499,270.62217285
"133",1165.24027227557,1409.57082022605,149865.21046253,0,"18425rr",8.6840562,270.72217285
"134",1161.50570747809,1409.58778578487,149735.71105701,0,"18425rr",8.88090659,270.75217285
"135",1157.76624525678,1409.59434995693,151057.009678925,0,"18425rr",8.91371499,271.19217285
"136",1154.02463333704,1409.65277478428,149428.14996891,0,"18425rr",8.91371499,271.48217285
"137",1150.32670430893,1409.72347549683,149114.518596175,0,"18425rr",8.8152898,271.26217285
"138",1146.80096198748,1409.76792091589,149741.781341645,0,"18425rr",8.42158901,271.52217285
"139",1142.71814719533,1409.81707702719,147754.774838245,0,"18425rr",9.76673336,272.21217285
"140",1139.04090490439,1409.91801364661,149428.14996891,0,"18425rr",8.749673,271.05217285
"141",1135.32883727789,1409.9079823066,151627.616434485,0,"18425rr",8.84809819,271.29217285
"142",1131.64874166089,1409.96290877164,152457.222001075,0,"18425rr",8.749673,270.34217285
"143",1127.8812167329,1410.09389356285,150795.98743968,0,"18425rr",9.01214019,270.47217285
"144",1124.11914911363,1410.06729005293,150986.18969153,0,"18425rr",8.97933179,271.67217285
"145",1120.57552922499,1410.10643610214,150356.90351785,0,"18425rr",8.42158901,271.62217285
"146",1116.62852684828,1410.1595170653,149980.54587057,0,"18425rr",9.40584098,271.06217285
"147",1112.8891058773,1410.18588870098,152511.85456278,0,"18425rr",8.88090659,271.24217285
"148",1109.12595449377,1410.23309606704,157412.597690305,0,"18425rr",8.97933179,270.89217285
"149",1105.42389411089,1410.27941665794,153948.48859273,0,"18425rr",8.8152898,271.05217285
"150",1101.87056717812,1410.30543685551,155146.35809376,0,"18425rr",8.45439741,271.29217285
"151",1097.8615377509,1410.34622650798,155354.771199515,0,"18425rr",9.53707457,271.40217285
"152",1094.13203197519,1410.4687277399,150575.43376466,0,"18425rr",8.88090659,271.72217285
"153",1090.45631214124,1410.47821971971,154124.526847105,0,"18425rr",8.749673,272.24217285
"154",1086.75992294653,1410.5694358026,158822.92715351,0,"18425rr",8.8152898,272.30217285
"155",1083.01371211331,1410.63355798468,157317.49656438,0,"18425rr",8.91371499,272.36217285
"156",1079.34317231435,1410.84346696191,152487.573424245,0,"18425rr",8.749673,271.74217285
