"","Longitude","Latitude","Yield","SWATHWIDTH","Swaths","DISTANCE","Heading","WetMass","Moisture"
"1",1151.48086648783,1417.35105054788,0,5,7,0.97066724,154.83592224,0,0
"2",1151.94769849063,1417.00701167354,0,5,7,1.59402682,151.31592224,0,0
"3",1152.20795790471,1416.77311852932,0,5,7,1.00347564,149.74592224,0,13.13
"4",1152.57757929599,1416.40353445461,0,5,7,1.49560162,148.29592224,0,13.13
"5",1153.58834906398,1415.46110645209,0,5,7,3.92342315,145.84592224,0,13.13
"6",1154.7887901045,1414.41030253108,0,5,7,4.48116593,143.01592224,0,13.13
"7",1156.13007606469,1413.27666875471,0,5,7,4.90767511,141.17592224,0,13.12
"8",1157.48019936705,1412.18903946725,48.397287,5,7,4.80924992,139.47592224,2908.32433917,13.12
"9",1158.94001599904,1411.05286236448,48.83367121,5,7,5.10452551,138.35592224,2934.54785081,13.12
"10",1160.46301954579,1409.90065006142,55.20999941,5,7,5.2357591,137.19592224,3317.71871933,13.12
"11",1162.09858862154,1408.73439311427,56.25578653,5,7,5.4654179,135.90592224,3380.56290592,13.12
"12",1163.75470444595,1407.58472438198,58.72856836,5,7,5.4654179,134.98592224,3529.15907761,13.12
"13",1165.56006068762,1406.34680679218,41.05941093,5,7,5.92473548,134.15592224,2467.37144887,13.12
"14",1167.39524294162,1405.12536670747,29.97083544,5,7,5.92473548,133.17592224,1801.02885079,13.12
"15",1169.20269806161,1403.95070520398,38.29596363,5,7,5.79350189,132.29592224,2301.30840035,13.12
"16",1170.99303075395,1402.79794022894,27.29966216,5,7,5.69507669,132.21592224,1640.51079794,13.12
"17",1172.76425274077,1401.6390928928,28.98529153,5,7,5.69507669,131.95592224,1741.80484169,13.12
"18",1174.56088219679,1400.54958376048,30.66430214,5,7,5.59665149,130.73592224,1842.70114651,13.12
"19",1176.42268703066,1399.5008813239,28.06360236,5,7,5.62945989,129.06592224,1686.41803783,13.12
"20",1178.23864822515,1398.54308186901,2.19549495,5,7,5.3669927,127.38592224,131.93325075,13.12
"21",1179.66212140294,1397.82415175595,1.91180089,5,7,4.12027354,126.31592224,114.88530476,13.12
"22",1180.03737656891,1397.60994357695,20.39041452,5,7,1.16751763,126.18592224,1225.31535361,13.12
"23",1183.28279042122,1401.50581080382,92.04987658,5,7,1.72526042,126.60592224,5531.52693199,13.12
"24",1163.22754410793,1401.31554537828,0,5,7,4.28431553,284.20592224,0,13.13
"25",1159.702848288,1402.58181335494,0,5,7,6.44966987,295.43592224,0,13.13
"26",1157.21707412711,1404.835954439,0,5,7,6.74494546,304.60592224,0,13.13
"27",1154.81015013096,1406.16498071382,0,5,7,6.67932866,307.04592224,0,13.13
"28",1152.68606121661,1407.14379597872,0,5,7,6.58090346,304.43592224,0,13.07
"29",1150.80814776236,1407.69506147195,0,5,7,5.99035228,299.00592224,0,13.07
"30",1149.39064579161,1408.77515236823,0,5,7,5.76069349,293.63592224,0,13.07
"31",1147.94073751819,1409.76106565331,0,5,7,5.3013759,288.30592224,0,13.07
"32",1146.57391989208,1409.80806923486,59.54987983,5,7,3.95623155,282.81592224,3576.4556404,13.07
"33",1148.82958623926,1416.43845196421,59.54987983,5,7,3.95623155,282.81592224,3576.4556404,13.07
"34",1145.95414256358,1412.00382125819,69.4401142,5,7,3.26725517,277.81592224,4170.44482368,13.07
"35",1144.48846998424,1411.92508349769,64.87965519,5,7,3.49691396,273.46592224,3896.55209026,13.07
"36",1142.65969499235,1412.00570181181,53.1930328,5,7,4.34993233,273.73592224,3194.67516491,13.07
"37",1140.61053902957,1412.09284481462,51.3948531,5,7,4.87486672,273.83592224,3086.67981824,13.07
"38",1138.59728448961,1412.16638563451,52.09607798,5,7,4.80924992,273.20592224,3128.79408746,13.07
"39",1136.45080714844,1412.23915236286,53.86569205,5,7,5.10452551,272.42592224,3235.07383554,13.07
"40",1134.23075909667,1412.27675220665,51.86555419,5,7,5.3013759,271.86592224,3114.94925469,13.07
"41",1131.9519428648,1412.32518961156,52.96351773,5,7,5.4326095,271.51592224,3180.89091425,13.07
"42",1129.64087022344,1412.31247213957,52.33144181,5,7,5.4982263,270.69592224,3142.92960364,13.07
