"","Longitude","Latitude","IsoTime","Yield","SWATHWIDTH","Swaths","DISTANCE","Heading","WetMass","Moisture"
"1",1098.49710542136,961.201364758061,"2017-10-31T20:16:19.004Z",189.46947122,5,7,2.53136993,178.52967224,10609.80053278,14.65
"2",1098.51577841571,960.212826852792,"2017-10-31T20:16:19.997Z",179.58923017,5,7,3.25315471,179.08967224,10056.53257877,14.65
"3",1098.53655074227,959.250498001406,"2017-10-31T20:16:21.003Z",161.58547964,5,7,3.18753791,179.26967224,9048.36909571,14.65
"4",1098.55411883889,958.461348519308,"2017-10-31T20:16:22.005Z",212.8578362,5,7,2.59698673,179.40967224,11919.48850348,14.65
"5",1098.55456080332,957.70725519149,"2017-10-31T20:16:22.998Z",225.13237266,5,7,2.49856153,179.69967224,12606.83081074,14.65
"6",1098.56516794803,956.950950065786,"2017-10-31T20:16:24.003Z",255.79064292,5,7,2.49856153,179.82967224,14323.61468131,14.65
"7",1098.58262554217,956.033077171623,"2017-10-31T20:16:25.005Z",215.72931155,5,7,3.02349592,179.80967224,12080.28369932,14.65
"8",1098.60185099244,954.747281031826,"2017-10-31T20:16:25.997Z",157.43584119,5,7,4.23740668,179.88967224,8816.0000714,14.65
"9",1098.62671149036,953.196739307192,"2017-10-31T20:16:26.998Z",132.78093279,5,7,5.12323345,179.68967224,7435.38894388,14.65
"10",1098.65864341756,951.514709537268,"2017-10-31T20:16:28.006Z",124.63655211,5,7,5.54974264,179.49967224,6979.32468204,14.65
"11",1098.66273158734,949.763894726412,"2017-10-31T20:16:28.997Z",130.36633278,5,7,5.77940143,179.86967224,7300.17758578,14.19
"12",1098.67488560834,947.945289948377,"2017-10-31T20:16:29.997Z",139.27315693,5,7,6.00906022,179.89967224,7798.93671066,14.19
"13",1098.71919252697,946.155769466163,"2017-10-31T20:16:31.005Z",144.30041491,5,7,5.91063503,179.49967224,8080.45016004,14.19
"14",1098.77896822257,944.310955524237,"2017-10-31T20:16:31.997Z",151.41390202,5,7,6.07467702,179.46967224,8478.78704675,14.19
"15",1098.74880415309,942.494452077598,"2017-10-31T20:16:32.999Z",160.69904366,5,7,5.97625182,180.17967224,8998.730973,14.19
"16",1098.77896822257,940.639353436306,"2017-10-31T20:16:33.999Z",152.47250842,5,7,6.10748542,179.78967224,8538.06626831,14.19
"17",1098.78824947557,938.802722984143,"2017-10-31T20:16:35.003Z",151.10072162,5,7,6.04186862,179.88967224,8461.2497542,14.19
"18",1098.77244924765,936.982348835217,"2017-10-31T20:16:36.002Z",155.63585023,5,7,6.00906022,180.01967224,8715.20523131,14.19
"19",1098.76173161144,935.155892373128,"2017-10-31T20:16:36.994Z",146.21778839,5,7,6.00906022,180.07967224,8187.81811768,14.19
"20",1098.75289233386,933.340052272321,"2017-10-31T20:16:37.996Z",147.30745669,5,7,5.97625182,180.11967224,8248.83672525,14.19
"21",1098.73897045673,931.514259377651,"2017-10-31T20:16:38.997Z",143.36383026,5,7,6.00906022,180.34967224,8028.00384083,14.19
"22",1098.78670259928,929.710141265586,"2017-10-31T20:16:39.993Z",153.98772352,5,7,5.94344342,179.45967224,8622.91439637,14.19
"23",1098.84548385255,927.897065698997,"2017-10-31T20:16:40.997Z",151.99451213,5,7,5.97625182,178.91967224,8511.29971196,14.19
"24",1098.88117247661,926.0836585475,"2017-10-31T20:16:41.997Z",168.0644165,5,7,5.97625182,179.09967224,9411.17280926,14.19
"25",1098.92503744337,924.259966707636,"2017-10-31T20:16:42.994Z",161.3437665,5,7,6.00906022,178.94967224,9034.83378503,14.19
"26",1098.95707986207,922.459055853807,"2017-10-31T20:16:43.998Z",168.51123773,5,7,5.94344342,178.91967224,9436.193643,14.37
"27",1098.97232763249,920.638460563673,"2017-10-31T20:16:45.006Z",161.3437665,5,7,6.00906022,179.16967224,9034.83378503,14.37
"28",1098.97442697412,918.800060783837,"2017-10-31T20:16:46.000Z",170.89350284,5,7,6.07467702,179.55967224,9569.59432996,14.37
"29",1098.9942048819,916.96486790864,"2017-10-31T20:16:47.003Z",151.7630291,5,7,6.04186862,179.49967224,8498.33726095,14.37
"30",1099.01011558876,915.135536148823,"2017-10-31T20:16:48.001Z",173.14609929,5,7,6.04186862,179.41967224,9695.73390744,14.37
"31",1099.02215911825,913.282870534631,"2017-10-31T20:16:48.994Z",157.71404339,5,7,6.10748542,179.42967224,8831.57867532,14.37
"32",1099.06049951789,911.434738924555,"2017-10-31T20:16:49.995Z",173.1578518,5,7,6.10748542,179.13967224,9696.39201742,14.37
"33",1099.09508323166,909.571125176374,"2017-10-31T20:16:51.004Z",164.41235344,5,7,6.14029382,179.12967224,9206.6667199,14.37
"34",1099.101823199,907.731951254194,"2017-10-31T20:16:52.001Z",157.81299794,5,7,6.07467702,179.37967224,8837.11987409,14.37
"35",1099.13198725907,905.867452776171,"2017-10-31T20:16:53.002Z",162.45728015,5,7,6.14029382,179.20967224,9097.18767057,14.37
"36",1099.17949843119,904.012907114799,"2017-10-31T20:16:54.000Z",157.33964804,5,7,6.10748542,178.94967224,8810.61350339,14.37
"37",1099.21441361788,902.13646527424,"2017-10-31T20:16:55.003Z",162.98292184,5,7,6.17310222,178.93967224,9126.62224628,14.37
"38",1099.24745045537,900.278159718093,"2017-10-31T20:16:55.997Z",155.2886781,5,7,6.14029382,178.95967224,8695.76448969,14.37
"39",1099.24568259766,898.354497320872,"2017-10-31T20:16:56.998Z",156.77943014,5,7,6.33714421,179.46967224,8779.24274927,14.37
"40",1099.26479756899,896.449634630115,"2017-10-31T20:16:58.000Z",155.5940896,5,7,6.27152741,179.58967224,8712.86674389,14.37
"41",1099.32589914689,894.557046996811,"2017-10-31T20:16:58.997Z",157.60352279,5,7,6.23871902,179.28967224,8825.38980712,14.11
"42",1099.36490251437,892.650414924163,"2017-10-31T20:16:59.999Z",160.69852371,5,7,6.27152741,179.44967224,8998.70185676,14.11
"43",1099.38887908343,890.744999286487,"2017-10-31T20:17:01.002Z",166.25871086,5,7,6.27152741,179.54967224,9310.05796184,14.11
"44",1099.39871277979,888.85097417601,"2017-10-31T20:17:01.995Z",165.57532888,5,7,6.23871902,179.85967224,9271.79033806,14.11
"45",1099.34523511065,886.952857475054,"2017-10-31T20:17:03.004Z",172.36580166,5,7,6.27152741,180.65967224,9652.03925759,14.11
"46",1099.28800073367,885.023555091876,"2017-10-31T20:17:03.999Z",163.15131449,5,7,6.36995261,180.98967224,9136.05179915,14.11
"47",1099.2591625559,883.11404768771,"2017-10-31T20:17:04.999Z",161.04102367,5,7,6.30433581,180.94967224,9017.88096922,14.11
"48",1099.25849958806,881.19558253043,"2017-10-31T20:17:06.005Z",164.17638829,5,7,6.33714421,180.09967224,9193.45328174,14.11
"49",1099.23397057563,879.264178958864,"2017-10-31T20:17:06.999Z",153.99761038,5,7,6.36995261,180.31967224,8623.46803484,14.11
"50",1099.19783998558,877.338968309173,"2017-10-31T20:17:08.005Z",161.01915005,5,7,6.33714421,180.65967224,9016.65610325,14.11
"51",1099.18612792901,875.402256435565,"2017-10-31T20:17:08.997Z",171.58708102,5,7,6.36995261,180.44967224,9608.43291527,14.11
"52",1099.21021497858,873.46123159847,"2017-10-31T20:17:10.002Z",174.72555707,5,7,6.40276101,179.93967224,9784.17945946,14.11
"53",1099.24159444985,871.520759764082,"2017-10-31T20:17:11.004Z",180.26106271,5,7,6.40276101,179.67967224,10094.15346379,14.11
"54",1099.29197838997,869.55230937134,"2017-10-31T20:17:12.003Z",167.77168442,5,7,6.50118621,179.29967224,9394.78056951,14.11
"55",1099.36655987116,867.607413953751,"2017-10-31T20:17:13.000Z",164.54736928,5,7,6.40276101,178.67967224,9214.22725793,14.41
"56",1099.45296390826,865.634208337895,"2017-10-31T20:17:13.999Z",166.01307137,5,7,6.50118621,178.42967224,9296.30278576,14.41
