"","Longitude","Latitude","AppliedRate","ControlRate","Variety","DISTANCE","Heading"
"1",585.504058606855,959.067220569248,21364.70400599,27000,"0100 conventional",3.37976371,178.98254395
"2",585.494777387017,958.339336268227,21364.70400599,27000,"0100 conventional",2.39551174,179.01254395
"3",585.580518160146,956.631429156195,21741.0616532767,27333.3260739933,"0100 conventional",5.64354323,179.42254395
"4",585.628139611658,954.928940868047,25986.21404037,27333.3260739933,"0100 conventional",5.61073483,180.05254395
"5",585.683274454566,953.211191509729,27756.0392490967,27333.3260739933,"0100 conventional",5.67635163,180.48254395
"6",585.68857797915,951.778867442213,29765.9779388933,27333.3260739933,"0100 conventional",4.72490806,180.83254395
"7",585.646812479671,951.062594779697,45075.2357848333,27333.3260739933,"0100 conventional",2.39551174,180.84254395
"8",585.6384151874,950.908878701137,84086.9316967667,27333.3260739933,"0100 conventional",0.525433,180.81254395
"9",586.26909609491,958.654953154792,15678.8707325167,27000,"0100 conventional",3.37976371,184.06254395
"10",586.132419134429,956.224469483082,23951.4341891667,27238.46831896,"0100 conventional",8.07186337,182.80254395
"11",585.87983736294,954.525187842048,29501.5833192967,27333.3260739933,"0100 conventional",5.74196843,181.95254395
"12",585.613886109847,952.824137154531,27657.5657428233,27333.3260739933,"0100 conventional",5.70916003,182.45254395
"13",585.671230783451,951.115677076688,29372.08391378,27333.3260739933,"0100 conventional",5.80758523,182.74254395
"14",585.609687452721,949.262458379311,28279.43267973,27000,"0100 conventional",6.13566922,182.62254395
"15",585.45201721132,947.243358891407,24865.2348113667,27000,"0100 conventional",6.693412,182.00254395
"16",585.348155887715,945.233438388778,26483.9773803233,27000,"0100 conventional",6.7918372,182.35254395
"17",585.262194202959,943.264102900887,27194.8751585267,27000,"0100 conventional",6.52937001,180.94254395
"18",585.057344471474,941.070275661356,26996.5791938333,27666.6521479867,"0100 conventional",7.28396318,179.79254395
"19",585.105628852568,938.891709942239,25682.6998086933,27666.6521479867,"0100 conventional",7.18553798,180.60254395
"20",585.072371111379,936.702748919875,26904.85044826,27666.6521479867,"0100 conventional",7.25115478,180.95254395
"21",585.054471593433,934.446440309786,27623.8419393,27666.6521479867,"0100 conventional",7.48081357,181.15254395
"22",584.861554884903,932.21490279239,27536.16005015,27999.97822198,"0100 conventional",7.48081357,179.70254395
"23",584.884205478003,929.903190021527,27658.91469496,27999.97822198,"0100 conventional",7.67766397,179.81254395
"24",585.022760847568,927.615585270931,27854.5127553767,27999.97822198,"0100 conventional",7.54643037,180.04254395
"25",584.980111470766,925.334062607586,28055.50662436,27999.97822198,"0100 conventional",7.54643037,179.47254395
"26",585.108501678794,923.027768670035,28171.5165084667,27999.97822198,"0100 conventional",7.64485557,179.83254395
"27",585.00983356292,920.792913597428,28167.4696520467,27999.97822198,"0100 conventional",7.44800518,178.61254395
"28",585.10938568173,918.560934206189,28253.8025890533,27999.97822198,"0100 conventional",7.38238838,179.02254395
"29",585.165183513885,916.334926387773,28408.9320852467,27999.97822198,"0100 conventional",7.34957998,178.92254395
"30",585.151151156086,914.042566426329,28390.0467552767,27999.97822198,"0100 conventional",7.54643037,179.30254395
"31",585.241201096326,911.829939703858,28419.7237023733,27999.97822198,"0100 conventional",7.34957998,179.41254395
"32",585.276558027904,909.596522873855,28533.0356822,27999.97822198,"0100 conventional",7.41519678,180.59254395
"33",585.30285483655,907.342978858667,28690.8630826767,27999.97822198,"0100 conventional",7.48081357,180.46254395
"34",585.258216603485,905.071519695194,28689.5141305333,27999.97822198,"0100 conventional",7.51362197,180.17254395
"35",585.261199854906,902.797406511754,28599.1343370967,27999.97822198,"0100 conventional",7.51362197,180.17254395
"36",585.233466625296,900.57814468043,28581.59795927,27999.97822198,"0100 conventional",7.34957998,180.75254395
"37",585.169160998737,898.322278424289,28626.1133799167,27999.97822198,"0100 conventional",7.44800518,180.97254395
"38",585.144300540397,896.090741400356,28609.9259542267,27999.97822198,"0100 conventional",7.34957998,181.45254395
"39",584.979006410177,893.83509620686,28415.6768459533,27999.97822198,"0100 conventional",7.44800518,181.23254395
"40",585.149825036275,891.555232694754,28394.0936117,27999.97822198,"0100 conventional",7.54643037,182.01254395
"41",584.908181928696,889.294831866095,28438.6090323467,27999.97822198,"0100 conventional",7.51362197,180.27254395
"42",584.831943334138,887.025584466864,28426.4684630767,27999.97822198,"0100 conventional",7.51362197,180.07254395
"43",584.925197489241,884.772261745336,28263.2452540433,27999.97822198,"0100 conventional",7.44800518,180.41254395
"44",584.868515762491,882.508211918758,28290.2242968567,27999.97822198,"0100 conventional",7.48081357,180.14254395
"45",584.735816382642,880.265505476688,28267.29211046,27999.97822198,"0100 conventional",7.41519678,180.15254395
"46",584.804431072681,878.031646175657,28251.1046847767,27999.97822198,"0100 conventional",7.38238838,180.84254395
"47",584.806530393393,875.777659848952,28269.9900147433,27999.97822198,"0100 conventional",7.51362197,180.85254395
"48",584.76874251537,873.554416881597,28226.8235462433,27999.97822198,"0100 conventional",7.34957998,181.43254395
"49",584.688636696288,871.291362506003,28367.1145688833,27999.97822198,"0100 conventional",7.48081357,181.85254395
"50",584.71758530491,869.048324192196,28415.67684595,27999.97822198,"0100 conventional",7.41519678,181.40254395
"51",584.49538849863,866.812916227639,28399.48942026,27999.97822198,"0100 conventional",7.38238838,180.38254395
"52",584.535275612576,864.529403270512,28342.8334303467,27999.97822198,"0100 conventional",7.54643037,180.90254395
"53",584.474616160739,862.26977710914,28364.4166646,27999.97822198,"0100 conventional",7.48081357,181.33254395
"54",584.414288209021,860.033927090798,28325.29705252,27999.97822198,"0100 conventional",7.38238838,181.43254395
"55",584.304570889419,857.799404130372,28442.6558887667,27999.97822198,"0100 conventional",7.38238838,181.59254395
"56",584.229879141019,855.565212917532,28441.3069366267,27999.97822198,"0100 conventional",7.41519678,181.69254395
"57",584.233193845454,853.350485067828,28426.4684630767,27000,"0100 conventional",7.31677158,181.92254395
"58",584.044365199278,851.123703070873,28674.6756569867,27000,"0100 conventional",7.38238838,181.55254395
"59",583.962712526186,848.91140813056,28070.34509791,27000,"0100 conventional",7.31677158,181.75254395
"60",583.901279656765,847.013180566227,28104.06890143,27000,"0100 conventional",6.26690281,181.97254395
"61",583.863491836838,846.028291781639,30657.6353039633,27000,"0100 conventional",3.28133851,181.79254395
"62",583.861944965556,845.71621498939,41735.23028421,27000,"0100 conventional",1.01755898,181.83254395
"63",609.235299793353,845.258382777459,26299.17093704,27333.3260739933,"0100 conventional",3.5438057,0.55254395
"64",609.267452579155,847.750573685977,26759.2922907033,27806.0744585733,"0100 conventional",8.23590536,0.71254395
"65",609.319604214606,849.529809591697,27751.9923926767,27999.97822198,"0100 conventional",5.87320203,0.68254395
"66",609.269551873175,851.33293222874,29049.68435213,27999.97822198,"0100 conventional",5.97162722,0.98254395
"67",609.397389703999,853.096243680701,27845.0700903933,27999.97822198,"0100 conventional",5.84039363,0.59254395
"68",609.427332685797,855.006525275204,28955.2577022733,27999.97822198,"0100 conventional",6.29971121,0.67254395
"69",609.503792298754,857.056367857655,26772.6531384567,27999.97822198,"0100 conventional",6.7590288,0.49254395
"70",609.549093503795,858.904720693817,27513.2278637567,27999.97822198,"0100 conventional",6.10286082,0.50254395
"71",609.577931585161,861.00134157159,27847.7679946733,27999.97822198,"0100 conventional",6.92307079,0.51254395
"72",609.682566367175,863.278440719811,27069.4226094367,27999.97822198,"0100 conventional",7.54643037,0.05254395
"73",609.683008309761,865.548130367698,27122.0317429267,27999.97822198,"0100 conventional",7.48081357,0.26254395
"74",609.692510480481,867.850885542811,27184.0835414,27999.97822198,"0100 conventional",7.61204717,0.53254395
"75",609.811067074195,870.068378188572,27266.3696219933,27999.97822198,"0100 conventional",7.31677158,0.29254395
"76",609.856699718119,872.373787453587,27414.75435748,27999.97822198,"0100 conventional",7.61204717,0.56254395
"77",609.88730563264,874.652545254869,27522.6705287433,27999.97822198,"0100 conventional",7.51362197,0.72254395
"78",609.936805507369,876.892818835481,27420.15016604,27999.97822198,"0100 conventional",7.38238838,0.52254395
"79",610.054036212086,879.175004936634,27770.8777226467,27999.97822198,"0100 conventional",7.54643037,0.28254395
"80",610.078786116477,881.445358107979,27785.7161962,27999.97822198,"0100 conventional",7.51362197,0.48254395
"81",610.118783781232,883.785270650933,27739.85182341,27999.97822198,"0100 conventional",7.71047237,0.34254395
"82",610.196900740911,886.108373937939,28066.2982414833,27999.97822198,"0100 conventional",7.67766397,0.27254395
"83",610.255239831655,888.360259068264,28148.5843220767,27999.97822198,"0100 conventional",7.41519678,0.45254395
"84",610.259659467926,890.650407395119,28176.9123170333,27999.97822198,"0100 conventional",7.57923877,0.39254395
"85",610.303966280949,892.906273755767,28264.5942061833,27999.97822198,"0100 conventional",7.44800518,0.19254395
"86",610.332141432734,895.195316232718,28198.4955512833,27999.97822198,"0100 conventional",7.54643037,0.06254395
"87",610.293469718212,897.454057903066,28152.6311784933,27999.97822198,"0100 conventional",7.44800518,359.66900635
"88",610.30606568017,899.687806833464,28155.3290827767,27999.97822198,"0100 conventional",7.38238838,359.51900635
"89",610.3040768506,901.920781602609,28155.3290827767,27999.97822198,"0100 conventional",7.34957998,359.55900635
"90",610.346726238393,904.165478549048,28095.97518858,27999.97822198,"0100 conventional",7.44800518,359.81900635
"91",610.299215197945,906.427980038979,28078.4388107533,27999.97822198,"0100 conventional",7.44800518,0.01660894
"92",610.304187285216,908.738476389721,28145.88641779,27999.97822198,"0100 conventional",7.61204717,359.96914673
"93",610.279326866131,911.01524365599,28102.7199492867,27999.97822198,"0100 conventional",7.51362197,0.00071684
"94",610.319656041996,913.270335958323,28191.75079058,27999.97822198,"0100 conventional",7.44800518,359.5880127
"95",610.286287825367,915.577846438576,28047.4129115133,27999.97822198,"0100 conventional",7.61204717,359.6180127
"96",610.282752149638,917.830063434351,28081.13671503,27999.97822198,"0100 conventional",7.41519678,359.3880127
"97",610.227064791353,920.178601684033,28175.56336489,27999.97822198,"0100 conventional",7.74328077,359.5980127
"98",610.212259028531,922.453267793211,28253.8025890567,27999.97822198,"0100 conventional",7.51362197,359.6280127
"99",610.182868472612,924.792627324779,28149.9332742133,27999.97822198,"0100 conventional",7.71047237,359.7980127
"100",610.150052788631,927.166158463707,28085.1835714567,27999.97822198,"0100 conventional",7.84170596,359.20720494
"101",610.139998002043,929.473336902498,28147.2353699333,27999.97822198,"0100 conventional",7.61204717,0.35
"102",610.187619475538,931.802854150063,28029.8765336833,27999.97822198,"0100 conventional",7.67766397,0.65
"103",610.249162752882,934.137790101289,28082.4856671767,27000,"0100 conventional",7.71047237,1.2
"104",610.267725184708,936.444968804883,27658.9146949633,27000,"0100 conventional",7.61204717,1.3
"105",610.36948718132,938.78189550878,27646.7741256967,27000,"0100 conventional",7.71047237,1.1
"106",610.452576231411,941.027698433203,27801.90362189,27000,"0100 conventional",7.41519678,0.99
"107",610.502076082588,943.32027966002,27893.6323674633,27000,"0100 conventional",7.57923877,1
"108",610.538648526642,945.592623467741,27693.9874506267,27000,"0100 conventional",7.51362197,0.92
"109",610.603506619904,947.901461059342,27583.3733750767,27000,"0100 conventional",7.61204717,0.69
"110",610.635548931836,950.181214180385,27603.60765719,27333.3260739933,"0100 conventional",7.51362197,0.71
"111",610.675767549042,952.469261307717,27316.2808512,27333.3260739933,"0100 conventional",7.54643037,0.83
"112",610.707588862987,954.750452030178,27413.4054053367,27333.3260739933,"0100 conventional",7.54643037,0.97
"113",610.767695884236,957.009525486613,27707.4769720333,27333.3260739933,"0100 conventional",7.48081357,0.48
"114",610.762171349103,958.805238866909,28234.9172590867,27333.3260739933,"0100 conventional",5.93881882,0.47
"115",610.788357671318,959.64238327227,41304.9145512933,27333.3260739933,"0100 conventional",2.75640413,0.32
"116",610.79189337531,959.709730819921,46607.64541678,27333.3260739933,"0100 conventional",0.4926246,0.31
"117",1109.13804860596,630.857346851276,14021.0085514733,23666.6666666667,"0996 conv",0.93728814,267.29174805
"118",1107.72575597065,630.851264584084,14021.0085514733,23000.0145186833,"0996 conv",3.36510966,267.39174805
"119",1105.78962666214,630.775291095547,23255.93490739,23000.0145186833,"0996 conv",4.74306242,266.81174805
"120",1103.87946280032,630.876810208127,23282.9139502067,23000.0145186833,"0996 conv",4.57902042,267.39174805
"121",1101.94565414338,630.714358390088,22762.21842386,23000.0145186833,"0996 conv",4.80867922,269.87174805
"122",1099.80224438931,630.541400407849,22777.05689741,23000.0145186833,"0996 conv",5.2679968,270.83174805
"123",1097.76987767898,630.628764165798,21545.4635928567,23000.0145186833,"0996 conv",4.84148761,270.62174805
"124",1095.6961874887,630.649444015061,23322.0335622867,23000.0145186833,"0996 conv",4.93991281,270.86174805
"125",1093.62139237914,630.681624898038,23327.4293708533,23000.0145186833,"0996 conv",4.93991281,271.00174805
"126",1091.53687408674,630.711262277832,23272.12233308,23000.0145186833,"0996 conv",4.97272121,271.14174805
"127",1089.46174750533,630.734817362933,23207.3726303267,23000.0145186833,"0996 conv",4.93991281,271.27174805
"128",1087.43612079236,630.782148710502,23134.52921472,23000.0145186833,"0996 conv",4.84148761,271.54174805
"129",1085.09725277599,630.838437507668,23139.92502328,23333.3405926767,"0996 conv",5.56327239,271.39174805
"130",1082.94080498078,630.851376180516,21724.8742275833,23333.3405926767,"0996 conv",5.1367632,271.32174805
"131",1080.25245470921,630.946702146093,23080.57112909,23333.3405926767,"0996 conv",6.41629076,270.85174805
"132",1077.57018146618,630.964064274347,21998.7115121667,23333.3405926767,"0996 conv",6.38348236,270.67174805
"133",1074.93928638134,631.009626037182,22188.91376402,23999.99274066,"0996 conv",6.25224877,270.19174805
"134",1071.96067696554,631.001995468702,23639.03731538,23999.99274066,"0996 conv",7.07245874,269.95174805
"135",1068.75666646892,631.0327386819,22292.7830788567,23999.99274066,"0996 conv",7.63020152,269.95174805
"136",1065.52536477008,631.022785866968,22439.8188622067,23999.99274066,"0996 conv",7.69581832,270.05174805
"137",1062.31627171546,631.033181081423,22790.5464188167,25333.29703663,"0996 conv",7.63020152,270.15174805
"138",1059.1234207834,631.061601967233,24629.1681867267,25333.29703663,"0996 conv",7.59739313,270.16174805
"139",1055.96161778224,631.095884040304,24772.1571136533,25333.29703663,"0996 conv",7.53177633,270.43174805
"140",1052.72556498625,631.101745184347,25005.52583401,25999.9491846133,"0996 conv",7.69581832,270.54174805
"141",1049.5050913377,631.123420192288,25975.4224232467,25999.9491846133,"0996 conv",7.66300992,270.29174805
"142",1046.25213342364,631.127954223412,26079.2917380867,25999.9491846133,"0996 conv",7.72862672,270.14174805
"143",1043.02856605137,631.132598848326,26161.5778186767,27666.57955457,"0996 conv",7.66300992,270.00174805
"144",1039.79903219667,631.14421050569,26262.7492292333,27666.57955457,"0996 conv",7.69581832,270.05174805
"145",1036.55436112613,631.138791773742,26466.4410024933,27666.57955457,"0996 conv",7.72862672,270.19174805
"146",1033.34162190307,631.159803407521,26768.6062820333,27666.57955457,"0996 conv",7.63020152,270.52174805
"147",1030.13065052887,631.200720712811,27010.0687152367,27999.9056285633,"0996 conv",7.63020152,270.82174805
"148",1026.94929062536,631.201715984639,28368.4635210233,27999.9056285633,"0996 conv",7.56458473,270.77174805
"149",1023.61943111179,631.263755219692,28511.4524479467,27999.9056285633,"0996 conv",7.92547712,270.26174805
"150",1020.28272115211,631.334751964847,28526.2909214967,27999.9056285633,"0996 conv",7.99109391,269.58174805
"151",1017.10799078936,631.255792953917,28363.0677124633,27999.9056285633,"0996 conv",7.56458473,270.28174805
"152",1014.09733908675,631.287310274934,28541.1293950433,27999.9056285633,"0996 conv",7.17088394,270.27174805
"153",1011.14878318,631.367375328281,28588.3427199733,27999.9056285633,"0996 conv",7.03965034,270.24174805
"154",1008.18044960844,631.37766027111,28589.6916721167,27999.9056285633,"0996 conv",7.07245874,271.59174805
"155",1005.18847082251,631.257562638443,28619.36861921,27999.9056285633,"0996 conv",7.13807554,271.43174805
"156",1002.21339680138,631.406522777747,28506.0566393833,27999.9056285633,"0996 conv",7.10526714,268.73174805
"157",999.265061716759,631.286203632975,28481.7755008533,27999.9056285633,"0996 conv",7.03965034,267.28174805
"158",996.240819512577,631.227702697542,28457.4943623133,27999.9056285633,"0996 conv",7.26930914,265.90174805
