"","Longitude","Latitude","IsoTime","AppliedRate","ControlRate","Variety","DISTANCE","Heading"
"1",1075.08140513878,1433.4513951896,"2014-05-19T21:34:14.000Z",73917.85598335,0,"1.8821rr",3.71395997,359.21868896
"2",1074.98890150741,1434.19947455146,"2014-05-19T21:34:14.408Z",73917.85598335,0,"1.8821rr",2.46724081,359.42868896
"3",1075.0194538219,1436.04497874168,"2014-05-19T21:34:15.403Z",99576.94912957,0,"1.8821rr",6.0761647,359.37868896
"4",1075.75016557936,1438.38459807889,"2014-05-19T21:34:16.408Z",118415.06577585,0,"1.8821rr",7.78220144,357.20868896
"5",1075.99536655175,1440.83158909888,"2014-05-19T21:34:17.402Z",124471.18641197,0,"1.8821rr",8.04466863,356.00868896
"6",1075.76949396388,1443.59741709705,"2014-05-19T21:34:18.405Z",123204.520351755,0,"1.8821rr",9.1273458,355.92868896
"7",1075.44348143446,1446.41277472277,"2014-05-19T21:34:19.410Z",120924.116757735,0,"1.8821rr",9.32419619,356.08868896
"8",1075.35931828007,1449.21106829897,"2014-05-19T21:34:20.404Z",122330.39936452,0,"1.8821rr",9.25857939,355.76868896
"9",1075.09203465856,1452.01317281153,"2014-05-19T21:34:21.409Z",127589.28928543,0,"1.8821rr",9.25857939,355.74868896
"10",1071.7313285174,1454.78986568238,"2014-05-19T21:34:22.405Z",132886.62434235,0,"1.8821rr",10.14440617,4.11718655
"11",1066.64179270993,1458.34472192721,"2014-05-19T21:34:23.408Z",135239.87135197,0,"1.8821rr",11.52235892,19.36718655
"12",1064.41058674816,1462.14080917035,"2014-05-19T21:34:24.404Z",138505.68448485,0,"1.8821rr",10.40687336,30.13718655
"13",1064.38572110208,1465.48048738633,"2014-05-19T21:34:25.399Z",137698.336628585,0,"1.8821rr",9.68508858,36.55718655
"14",1067.52071634812,1467.26493225632,"2014-05-19T21:34:26.403Z",137595.141789815,0,"1.8821rr",9.38981299,33.66718655
"15",1070.88472493053,1469.0161924115,"2014-05-19T21:34:27.407Z",139644.874567755,0,"1.8821rr",9.35700459,29.51718655
"16",1071.67025738316,1471.91249676732,"2014-05-19T21:34:28.402Z",141842.31760512,0,"1.8821rr",9.29138779,32.96718655
"17",1072.67948422974,1474.80668818352,"2014-05-19T21:34:29.407Z",142631.45460749,0,"1.8821rr",9.35700459,36.58718655
"18",1073.72946474865,1477.75846764925,"2014-05-19T21:34:30.403Z",139624.640285645,0,"1.8821rr",9.38981299,40.98718655
"19",1075.15884243535,1480.63203816695,"2014-05-19T21:34:31.397Z",136886.94191589,0,"1.8821rr",9.42262139,45.27718655
"20",1077.45049915624,1482.76735254151,"2014-05-19T21:34:32.402Z",135691.095843075,0,"1.8821rr",8.83207021,46.67718655
"21",1081.50934328723,1483.38898152313,"2014-05-19T21:34:33.405Z",138924.53412457,0,"1.8821rr",8.79926181,40.89718655
"22",1085.82238583242,1483.49339611119,"2014-05-19T21:34:34.400Z",146864.46642532,0,"1.8821rr",7.68377624,32.22718655
"23",1087.75609886351,1483.78696684252,"2014-05-19T21:34:35.404Z",147014.20011295,0,"1.8821rr",3.68115157,28.46718655
"24",1087.34501257065,1484.1765798807,"2014-05-19T21:34:36.408Z",167804.924983025,0,"1.8821rr",1.12209645,30.09718655
"25",1093.01264227053,1501.90872791839,"2014-05-19T21:36:16.002Z",127627.73442144,0,"1.8821rr",2.99217519,180.62718655
"26",1093.12169948684,1499.7414127433,"2014-05-19T21:36:17.405Z",129858.04568889,0,"1.8821rr",7.13264435,181.10718655
"27",1093.01815068687,1498.02442381817,"2014-05-19T21:36:18.409Z",130444.34649143,0,"1.8821rr",5.71527231,181.00718655
"28",1092.93506940285,1496.07123908755,"2014-05-19T21:36:19.403Z",139406.110038835,0,"1.8821rr",6.43705708,180.96718655
"29",1092.90789935346,1494.06249972963,"2014-05-19T21:36:20.408Z",123453.402021735,0,"1.8821rr",6.63390748,181.02718655
"30",1092.75094524849,1491.73609862239,"2014-05-19T21:36:21.403Z",130031.567136345,0,"1.8821rr",7.68377624,180.70718655
"31",1092.74561101921,1489.36454701655,"2014-05-19T21:36:22.408Z",128070.86519969,0,"1.8821rr",7.81500984,180.76718655
"32",1092.53876814477,1487.03440385531,"2014-05-19T21:36:23.401Z",124019.96192087,0,"1.8821rr",7.68377624,180.27718655
"33",1092.63918471018,1484.69042724142,"2014-05-19T21:36:24.405Z",128107.286907495,0,"1.8821rr",7.71658464,180.56718655
"34",1092.64273997293,1482.34396128139,"2014-05-19T21:36:25.409Z",131640.19256425,0,"1.8821rr",7.74939304,180.63718655
"35",1092.61537174921,1479.98758157699,"2014-05-19T21:36:26.404Z",132206.752463385,0,"1.8821rr",7.78220144,180.66718655
"36",1092.44156866653,1477.54345786551,"2014-05-19T21:36:27.408Z",134746.15486844,0,"1.8821rr",8.07747703,180.23718655
"37",1092.43934382537,1475.08127156106,"2014-05-19T21:36:28.403Z",133042.42831461,0,"1.8821rr",8.11028543,180.26718655
"38",1092.43789528052,1472.22212314612,"2014-05-19T21:36:29.407Z",135343.066190745,0,"1.8821rr",9.42262139,180.34718655
"39",1092.36194577473,1469.25621333076,"2014-05-19T21:36:30.402Z",131275.975486235,0,"1.8821rr",9.78351378,180.18718655
"40",1092.45136045269,1466.32476778335,"2014-05-19T21:36:31.406Z",124861.70805673,0,"1.8821rr",9.65228018,180.49718655
"41",1092.49958872834,1463.39082578382,"2014-05-19T21:36:32.401Z",130067.988844145,0,"1.8821rr",9.68508858,180.76718655
"42",1092.37918138052,1460.45523801491,"2014-05-19T21:36:33.395Z",133564.4727931,0,"1.8821rr",9.68508858,180.58718655
"43",1092.36024062388,1457.52661541293,"2014-05-19T21:36:34.400Z",134922.19312282,0,"1.8821rr",9.65228018,180.65718655
"44",1092.30181564774,1454.59661408602,"2014-05-19T21:36:35.406Z",138926.55755278,0,"1.8821rr",9.65228018,180.62718655
"45",1092.17818835439,1451.62403264378,"2014-05-19T21:36:36.410Z",137398.869253325,0,"1.8821rr",9.81632218,180.47718655
"46",1092.07076014771,1448.70423181748,"2014-05-19T21:36:37.405Z",138056.483421965,0,"1.8821rr",9.61947178,180.22718655
"47",1092.0837382154,1445.76006228742,"2014-05-19T21:36:38.399Z",137269.36984781,0,"1.8821rr",9.71789698,180.33718655
"48",1091.90676419759,1442.802128635,"2014-05-19T21:36:39.405Z",138056.483421965,0,"1.8821rr",9.75070538,179.84718655
"49",1091.86419852001,1439.81703273485,"2014-05-19T21:36:40.408Z",137014.417893195,0,"1.8821rr",9.84913058,179.66718655
"50",1091.94824519345,1436.81333040183,"2014-05-19T21:36:41.412Z",137178.315578305,0,"1.8821rr",9.91474737,179.81718655
"51",1092.10400878248,1433.81412510304,"2014-05-19T21:36:42.405Z",137054.88645742,0,"1.8821rr",9.88193897,180.13718655
"52",1092.02028375508,1430.79535798089,"2014-05-19T21:36:43.400Z",141265.640564925,0,"1.8821rr",9.94755577,179.88718655
"53",1092.17724889385,1427.77977802763,"2014-05-19T21:36:44.405Z",140982.36061536,0,"1.8821rr",9.94755577,180.33718655
"54",1092.12036240818,1424.76530376548,"2014-05-19T21:36:45.400Z",136152.437475225,0,"1.8821rr",9.94755577,180.25718655
"55",1091.99636520747,1421.77651703681,"2014-05-19T21:36:46.407Z",137056.909885635,0,"1.8821rr",9.84913058,179.98718655
"56",1092.06676435877,1418.77593012921,"2014-05-19T21:36:47.399Z",136164.578044495,0,"1.8821rr",9.88193897,180.20718655
"57",1092.00303505321,1415.77770770896,"2014-05-19T21:36:48.404Z",137526.34523063,0,"1.8821rr",9.88193897,180.07718655
"58",1091.96506573181,1412.76548686377,"2014-05-19T21:36:49.398Z",137319.95555309,0,"1.8821rr",9.94755577,179.95718655
"59",1091.97791893311,1409.67907963054,"2014-05-19T21:36:50.403Z",134863.51370469,0,"1.8821rr",10.17721456,179.91718655
"60",1092.10103463168,1406.61292200093,"2014-05-19T21:36:51.406Z",133635.29278049,0,"1.8821rr",10.11159777,180.18718655
"61",1092.05764381509,1403.59590094365,"2014-05-19T21:36:52.412Z",134173.524684675,0,"1.8821rr",9.94755577,180.09718655
"62",1091.92168581268,1400.60232885684,"2014-05-19T21:36:53.404Z",135498.87016301,0,"1.8821rr",9.88193897,179.78718655
"63",1091.97098964809,1397.59548298721,"2014-05-19T21:36:54.399Z",136751.37222574,0,"1.8821rr",9.91474737,179.88718655
"64",1092.02486790998,1394.56959177652,"2014-05-19T21:36:55.405Z",134197.805823205,0,"1.8821rr",9.98036417,180.07718655
"65",1091.9621786573,1391.54159792016,"2014-05-19T21:36:56.399Z",133424.85624653,0,"1.8821rr",9.98036417,179.98718655
"66",1091.93848841583,1388.51378456112,"2014-05-19T21:36:57.404Z",134080.44698696,0,"1.8821rr",9.98036417,179.95718655
"67",1091.90347139388,1385.47911730275,"2014-05-19T21:36:58.398Z",135069.903382235,0,"1.8821rr",10.01317257,179.81718655
"68",1091.96391265337,1382.42393563899,"2014-05-19T21:36:59.403Z",134175.54811288,0,"1.8821rr",10.07878937,179.91718655
"69",1091.97306517956,1379.35513442263,"2014-05-19T21:37:00.407Z",133946.900725015,0,"1.8821rr",10.11159777,179.91718655
"70",1092.2558977726,1376.29799986533,"2014-05-19T21:37:01.403Z",134701.639447795,0,"1.8821rr",10.07878937,180.73718655
"71",1091.98945482926,1373.27655033952,"2014-05-19T21:37:02.408Z",139361.59461819,0,"1.8821rr",9.98036417,180.15718655
"72",1092.00542988636,1370.21979661592,"2014-05-19T21:37:03.403Z",138594.715326145,0,"1.8821rr",10.07878937,180.23718655
"73",1091.8382129063,1367.20650101419,"2014-05-19T21:37:04.408Z",139232.095212675,0,"1.8821rr",9.94755577,179.83718655
"74",1091.86529707194,1364.16477486898,"2014-05-19T21:37:05.400Z",135905.57923346,0,"1.8821rr",10.01317257,179.84718655
"75",1091.91244352423,1361.14355646953,"2014-05-19T21:37:06.405Z",137933.05430108,0,"1.8821rr",9.94755577,179.98718655
"76",1091.90221741281,1358.09084255734,"2014-05-19T21:37:07.400Z",135264.15249051,0,"1.8821rr",10.07878937,180.05718655
"77",1091.86233595611,1355.03656436237,"2014-05-19T21:37:08.403Z",134489.17948562,0,"1.8821rr",10.07878937,179.99718655
