"","Longitude","Latitude","IsoTime","AppliedRate","ControlRate","Variety","DISTANCE","Heading"
"1",2303.72221680736,12.6386141051978,"2014-05-19T02:01:26.000Z",92757.99605783,0,"1500rr",4.93472292,1.02343726
"2",2303.88723445293,14.265843141733,"2014-05-19T02:01:27.003Z",112632.107948235,0,"1500rr",5.39404051,0.76343726
"3",2303.69897704428,15.8989654992111,"2014-05-19T02:01:28.009Z",121840.72973741,0,"1500rr",5.39404051,1.33343726
"4",2303.71684980182,17.5396916161662,"2014-05-19T02:01:29.003Z",129080.55587708,0,"1500rr",5.4268489,1.45343726
"5",2303.82339222259,19.2026513171723,"2014-05-19T02:01:30.008Z",131959.89422162,0,"1500rr",5.4924657,1.40343726
"6",2303.93666425039,20.838186246026,"2014-05-19T02:01:31.002Z",132368.62672028,0,"1500rr",5.39404051,1.25343726
"7",2304.18900822545,22.9085887139087,"2014-05-19T02:01:31.997Z",141267.66399314,0,"1500rr",6.87041846,0.79343726
"8",2304.36571801201,24.9937842309231,"2014-05-19T02:01:33.001Z",124347.757291085,0,"1500rr",6.90322686,0.40343726
"9",2304.16383684799,27.0570447869641,"2014-05-19T02:01:34.004Z",127368.73561041,0,"1500rr",6.80480166,1.04343726
"10",2304.07058412921,29.1515129664498,"2014-05-19T02:01:35.000Z",130513.143050615,0,"1500rr",6.90322686,1.47343726
"11",2304.20443587436,31.2166050693515,"2014-05-19T02:01:36.003Z",131012.92981878,0,"1500rr",6.80480166,1.33343726
"12",2304.24544616777,33.2897124132312,"2014-05-19T02:01:37.000Z",131656.37998994,0,"1500rr",6.83761006,1.39343726
"13",2304.28756517275,35.3885643000373,"2014-05-19T02:01:38.005Z",132131.88561957,0,"1500rr",6.93603526,1.50343726
"14",2304.25321431607,37.4621953921494,"2014-05-19T02:01:38.999Z",131012.92981878,0,"1500rr",6.83761006,1.79343726
"15",2304.29728944059,39.5479469333055,"2014-05-19T02:01:40.004Z",130227.83967283,0,"1500rr",6.87041846,1.94343726
"16",2304.40524422001,41.6243681467468,"2014-05-19T02:01:40.999Z",131031.14067268,0,"1500rr",6.83761006,1.91343726
"17",2305.46602659628,43.688321483277,"2014-05-19T02:01:42.002Z",132929.11633478,0,"1500rr",7.03446045,359.27340698
"18",2305.30563079901,45.7642732505915,"2014-05-19T02:01:43.007Z",132607.391249205,0,"1500rr",6.87041846,359.66340698
"19",2305.20268826679,47.8813438725704,"2014-05-19T02:01:44.003Z",131974.0582191,0,"1500rr",7.00165205,359.88340698
"20",2305.13518640697,50.0653609561476,"2014-05-19T02:01:45.008Z",132139.979332415,0,"1500rr",7.19850245,0.15624999
"21",2305.17613147098,52.2326855484202,"2014-05-19T02:01:46.002Z",130333.057939815,0,"1500rr",7.16569405,0.07624999
"22",2305.17303671999,54.4062168385166,"2014-05-19T02:01:46.997Z",128845.838204585,0,"1500rr",7.16569405,0.12624999
"23",2305.20318509948,56.7004536024578,"2014-05-19T02:01:48.001Z",131093.866947225,0,"1500rr",7.55939484,0.02624999
"24",2305.21296469611,59.3157549767952,"2014-05-19T02:01:49.005Z",130039.66084919,0,"1500rr",8.6092636,0.06624999
"25",2305.2573764174,61.9265815051307,"2014-05-19T02:01:50.001Z",121622.1994906,0,"1500rr",8.6092636,-0.00375001
"26",2305.13776053716,64.5399044766308,"2014-05-19T02:01:51.005Z",125157.128575565,0,"1500rr",8.6092636,0.31624999
"27",2304.94335925244,67.1568410699358,"2014-05-19T02:01:52.001Z",130488.86191208,0,"1500rr",8.642072,0.97624999
"28",2305.03318846548,69.7616966108434,"2014-05-19T02:01:52.997Z",131619.95828214,0,"1500rr",8.6092636,0.91624999
"29",2304.95370867004,72.3784554850947,"2014-05-19T02:01:54.001Z",133024.21746071,0,"1500rr",8.6092636,1.36624999
"30",2305.23464312244,74.966943445256,"2014-05-19T02:01:55.004Z",134179.594969305,0,"1500rr",8.5764552,0.85624999
"31",2305.26862773391,77.5642175318348,"2014-05-19T02:01:56.000Z",135223.683926285,0,"1500rr",8.5764552,0.92624999
"32",2305.29775481422,80.1538729951242,"2014-05-19T02:01:57.003Z",134705.68630422,0,"1500rr",8.5436468,0.99624999
"33",2305.34699776811,82.7539237001905,"2014-05-19T02:01:58.010Z",133151.69343802,0,"1500rr",8.5764552,0.99624999
"34",2305.14744470679,85.3451004317898,"2014-05-19T02:01:59.004Z",132012.50335511,0,"1500rr",8.5436468,1.72624999
"35",2305.33646740494,87.9436448997298,"2014-05-19T02:02:00.009Z",133026.24088892,0,"1500rr",8.5764552,1.50624999
"36",2305.38802340824,90.5426624881034,"2014-05-19T02:02:01.003Z",132639.766100585,0,"1500rr",8.5764552,1.67624999
"37",2305.42114532935,93.1448472731487,"2014-05-19T02:02:01.998Z",132769.265506095,0,"1500rr",8.5764552,1.84624999
"38",2305.55416383175,95.7315318362284,"2014-05-19T02:02:03.002Z",132129.86219136,0,"1500rr",8.5436468,1.81624999
"39",2305.71208377363,98.3182597688579,"2014-05-19T02:02:04.007Z",132639.76610058,0,"1500rr",8.5436468,1.72624999
"40",2305.83262646275,100.909819037756,"2014-05-19T02:02:05.001Z",135383.534754965,0,"1500rr",8.5436468,1.69624999
"41",2305.91385514458,103.495206987784,"2014-05-19T02:02:06.004Z",133028.26431713,0,"1500rr",8.5436468,1.78624999
"42",2306.26705063471,106.075251133968,"2014-05-19T02:02:07.008Z",132129.86219136,0,"1500rr",8.5436468,1.09624999
"43",2306.24758768278,108.655753005585,"2014-05-19T02:02:08.003Z",133926.666442905,0,"1500rr",8.51083841,1.38624999
"44",2306.32242883813,111.229673100703,"2014-05-19T02:02:09.008Z",134183.641825725,0,"1500rr",8.47803001,1.45624999
"45",2306.8003656787,113.807750888484,"2014-05-19T02:02:10.012Z",135610.158714625,0,"1500rr",8.5436468,0.32624999
"46",2306.72704099674,116.369033616324,"2014-05-19T02:02:10.998Z",135893.43866419,0,"1500rr",8.44522161,0.67624999
"47",2306.74585342452,118.922322514117,"2014-05-19T02:02:12.002Z",135130.60622857,0,"1500rr",8.41241321,0.78624999
"48",2306.82934654084,121.466119470486,"2014-05-19T02:02:13.007Z",133550.308795625,0,"1500rr",8.37960481,0.71624999
"49",2307.10696659021,124.041734406407,"2014-05-19T02:02:14.002Z",132898.764911615,0,"1500rr",8.5436468,0.09624999
"50",2306.66515613803,126.589524403905,"2014-05-19T02:02:15.007Z",130324.96422697,0,"1500rr",8.41241321,1.33624999
"51",2306.80126366758,129.144071743133,"2014-05-19T02:02:16.001Z",131069.58580869,0,"1500rr",8.44522161,1.20624999
"52",2307.09495194079,131.686506737066,"2014-05-19T02:02:17.007Z",132506.21983864,0,"1500rr",8.41241321,0.60624999
"53",2307.51805804488,134.220768337672,"2014-05-19T02:02:18.012Z",133430.92653116,0,"1500rr",8.37960481,359.60934448
"54",2307.46141281135,136.732422672668,"2014-05-19T02:02:19.007Z",134090.564128015,0,"1500rr",8.28117961,359.65934448
"55",2307.57552827432,139.272982817767,"2014-05-19T02:02:20.011Z",135169.051364585,0,"1500rr",8.37960481,359.23934448
"56",2307.69506104446,141.743668903817,"2014-05-19T02:02:21.006Z",132635.71924416,0,"1500rr",8.14994602,358.76934448
"57",2307.78391590222,143.927866149437,"2014-05-19T02:02:22.000Z",128803.34621215,0,"1500rr",7.19850245,358.32934448
"58",2307.84028859632,144.995637252141,"2014-05-19T02:02:23.005Z",134349.562939045,0,"1500rr",3.52396177,358.08934448
"59",2307.8253557984,144.922715423963,"2014-05-19T02:02:23.999Z",0,0,"1500rr",0.70243946,358.15934448
"60",2297.64978619763,155.64174715366,"2014-05-19T02:03:08.009Z",111416.02759331,0,"1500rr",5.6893161,87.69934448
"61",2300.0032526473,155.839028615086,"2014-05-19T02:03:09.005Z",118378.644068045,0,"1500rr",5.6236993,88.27934448
"62",2302.3734190558,155.824949256047,"2014-05-19T02:03:10.010Z",126628.16088511,0,"1500rr",5.6565077,88.12934448
"63",2304.7411887415,155.957194070342,"2014-05-19T02:03:11.004Z",129697.701481495,0,"1500rr",5.6565077,88.48934448
"64",2307.3141338824,155.927429842062,"2014-05-19T02:03:11.999Z",129505.475801435,0,"1500rr",6.11582528,88.26934448
"65",2310.3081100893,155.927941565505,"2014-05-19T02:03:13.003Z",133125.38887127,0,"1500rr",7.13288565,88.08934448
"66",2313.29469957821,155.896204354697,"2014-05-19T02:03:14.007Z",122674.38216042,0,"1500rr",7.13288565,87.76934448
"67",2316.27405423781,156.030586187003,"2014-05-19T02:03:15.002Z",125203.667424425,0,"1500rr",7.10007725,87.98934448
"68",2319.68007964017,156.110503250203,"2014-05-19T02:03:16.005Z",129835.29459986,0,"1500rr",8.11713762,87.96934448
"69",2323.31239598174,156.089207563609,"2014-05-19T02:03:17.010Z",123534.33915018,0,"1500rr",8.642072,87.50934448
"70",2326.87765223096,156.287997434057,"2014-05-19T02:03:18.005Z",122291.954228505,0,"1500rr",8.51083841,87.93934448
"71",2330.4534639871,156.348513220701,"2014-05-19T02:03:19.010Z",127712.71840631,0,"1500rr",8.51083841,87.86934448
"72",2333.99841782984,156.497826058371,"2014-05-19T02:03:20.004Z",126055.53070134,0,"1500rr",8.44522161,88.08934448
"73",2337.90446118824,156.479719960818,"2014-05-19T02:03:20.998Z",130573.845896945,0,"1500rr",9.29823998,87.72934448
"74",2341.93135669454,156.579197650452,"2014-05-19T02:03:22.003Z",125236.0422758,0,"1500rr",9.59351557,87.80934448
"75",2345.94204545023,156.60519966202,"2014-05-19T02:03:23.008Z",125606.329638455,0,"1500rr",9.56070717,87.51934448
"76",2349.92184978529,156.757294925877,"2014-05-19T02:03:24.003Z",127619.640708595,0,"1500rr",9.49509037,87.66934448
"77",2353.9531979652,156.939547985305,"2014-05-19T02:03:25.007Z",129094.71987456,0,"1500rr",9.62632397,87.98934448
"78",2358.06754853228,157.028243757947,"2014-05-19T02:03:26.003Z",128864.049058485,0,"1500rr",9.79036597,87.98934448
"79",2362.16839402564,157.106841447981,"2014-05-19T02:03:27.008Z",127423.36817211,0,"1500rr",9.75755757,87.99934448
"80",2366.24894436616,157.227587713232,"2014-05-19T02:03:28.003Z",129527.73351176,0,"1500rr",9.72474917,88.06934448
"81",2370.30368325952,157.272378810453,"2014-05-19T02:03:29.006Z",132202.705606965,0,"1500rr",9.65913237,87.90934448
"82",2374.36435658033,157.344762695285,"2014-05-19T02:03:30.002Z",132542.64154644,0,"1500rr",9.65913237,87.82934448
"83",2378.48250180631,157.452182538937,"2014-05-19T02:03:31.005Z",133218.46656899,0,"1500rr",9.82317436,87.81934448
"84",2382.58980088085,157.580966674055,"2014-05-19T02:03:32.010Z",132433.37642304,0,"1500rr",9.79036597,87.89934448
"85",2386.71680900857,157.707677421262,"2014-05-19T02:03:33.005Z",132433.37642304,0,"1500rr",9.82317436,87.93934448
"86",2390.81246589543,157.828195245367,"2014-05-19T02:03:34.009Z",131103.984088285,0,"1500rr",9.75755757,87.97934448
"87",2394.98855535253,157.97733024926,"2014-05-19T02:03:35.012Z",132318.041015005,0,"1500rr",9.95440796,88.21934448
"88",2399.20440103942,158.05942520124,"2014-05-19T02:03:36.008Z",128151.80232814,0,"1500rr",10.05283316,88.20934448
"89",2403.41652126334,158.145756944845,"2014-05-19T02:03:37.003Z",129721.982620035,0,"1500rr",10.02002476,88.18934448
"90",2407.61779672913,158.27780618481,"2014-05-19T02:03:38.007Z",128959.15018441,0,"1500rr",10.02002476,88.34934448
"91",2411.82831056466,158.326805418621,"2014-05-19T02:03:39.002Z",129274.80498536,0,"1500rr",10.02002476,88.21934448
"92",2416.05058442539,158.345945244203,"2014-05-19T02:03:40.005Z",129721.98262003,0,"1500rr",10.05283316,87.92934448
"93",2420.27871148787,158.493647698266,"2014-05-19T02:03:41.010Z",128226.669171955,0,"1500rr",10.08564156,88.03934448
"94",2424.51584418545,158.632373197692,"2014-05-19T02:03:42.005Z",129092.696446345,0,"1500rr",10.08564156,88.21934448
"95",2428.75381394165,158.684587337586,"2014-05-19T02:03:43.010Z",129653.18606085,0,"1500rr",10.08564156,88.11934448
"96",2432.99639642223,158.802992025889,"2014-05-19T02:03:44.014Z",130290.56594738,0,"1500rr",10.11844995,88.25934448
"97",2437.25607168471,158.911208218178,"2014-05-19T02:03:45.009Z",130411.971640055,0,"1500rr",10.15125835,88.33934448
"98",2441.5229865542,159.101828653273,"2014-05-19T02:03:46.004Z",130428.15906574,0,"1500rr",10.15125835,88.76934448
"99",2445.79582884385,159.185163223332,"2014-05-19T02:03:47.008Z",130527.30704809,0,"1500rr",10.18406675,88.84934448
