"","Longitude","Latitude","IsoTime","Yield","SWATHWIDTH","Swaths","DISTANCE","Heading","WetMass","Moisture"
"1",1121.57254537201,166.749577054148,"2016-07-08T20:05:15.000Z",0,5,7,1.73241811,123.24217987,0,0
"2",1122.14738427048,166.468460066981,"2016-07-08T20:05:16.009Z",0,5,7,1.66680131,123.83217987,0,0
"3",1122.71030027983,166.109156873721,"2016-07-08T20:05:17.003Z",0,5,7,1.7980349,125.18217987,0,0
"4",1123.27752178345,165.77219255125,"2016-07-08T20:05:18.006Z",0,5,7,1.7652265,126.16217987,0,0
"5",1123.7984868619,165.33027967179,"2016-07-08T20:05:18.997Z",0,5,7,1.9292685,128.57217987,0,0
"6",1124.40578265265,164.860940576817,"2016-07-08T20:05:19.994Z",0,5,7,2.12611889,130.39217987,0,0
"7",1124.99144057744,164.376561383095,"2016-07-08T20:05:21.004Z",0,5,7,2.12611889,132.22217987,0,0
"8",1125.54077783681,163.848610206244,"2016-07-08T20:05:21.998Z",0,5,7,2.19173569,134.34217987,0,0
"9",1126.05887274995,163.237496353959,"2016-07-08T20:05:22.999Z",0,5,7,2.35577769,137.38217987,0,0
"10",1126.5140412636,162.595307037654,"2016-07-08T20:05:23.995Z",0,5,7,2.38858608,140.63217987,0,17.79
"11",1126.91798545887,161.955218878329,"2016-07-08T20:05:24.998Z",0,5,7,2.32296929,143.79217987,0,17.79
"12",1127.33054060189,161.296109241422,"2016-07-08T20:05:25.996Z",0,5,7,2.38858608,146.26217987,0,17.79
"13",1127.74386847098,160.668185547101,"2016-07-08T20:05:27.004Z",0,5,7,2.29016089,148.08217987,0,17.79
"14",1128.12727868504,160.014052281313,"2016-07-08T20:05:27.996Z",16.13932882,5,7,2.35577769,149.96217987,1024.94946861,17.79
"15",1128.52537173464,159.318226910861,"2016-07-08T20:05:28.997Z",28.49070489,5,7,2.48701128,151.63217987,1809.33997708,17.79
"16",1128.87621474811,158.631248679785,"2016-07-08T20:05:29.995Z",38.71963785,5,7,2.42139448,153.36217987,2458.94192306,17.79
"17",1129.22484982577,157.892625394362,"2016-07-08T20:05:30.998Z",28.07453108,5,7,2.58543648,155.14217987,1782.91030806,17.79
"18",1129.54003451314,157.163402125966,"2016-07-08T20:05:31.999Z",21.2612759,5,7,2.51981968,156.72217987,1350.22550659,17.79
"19",1129.80609244216,156.422235304907,"2016-07-08T20:05:32.998Z",22.46150921,5,7,2.51981968,158.58217987,1426.44791422,17.79
"20",1129.99663871973,155.661826082924,"2016-07-08T20:05:34.001Z",28.94314162,5,7,2.55262808,160.95217987,1838.07257146,17.79
"21",1130.13408395982,154.899536881895,"2016-07-08T20:05:34.995Z",27.77682819,5,7,2.51981968,163.54217987,1764.00429087,17.79
"22",1130.1725029697,154.106172272636,"2016-07-08T20:05:36.005Z",23.43231427,5,7,2.61824488,166.70217987,1488.1001762,17.79
"23",1130.16433426237,153.304402813079,"2016-07-08T20:05:36.999Z",27.21667812,5,7,2.65105328,169.57217987,1728.43121859,17.79
"24",1130.17482260537,152.499647352793,"2016-07-08T20:05:38.002Z",28.19452284,5,7,2.65105328,171.92217987,1790.53054381,17.79
"25",1130.12216372989,151.690247155885,"2016-07-08T20:05:39.003Z",25.113172,5,7,2.68386167,174.39217987,1594.84527406,17.79
"26",1130.04091191411,150.867133862615,"2016-07-08T20:05:39.998Z",30.9444578,5,7,2.71667007,176.64217987,1969.4810154,17.97
"27",1130.00823461229,150.042693346154,"2016-07-08T20:05:40.999Z",24.75556624,5,7,2.71667007,177.74217987,1575.58481232,17.97
