"","Longitude","Latitude","IsoTime","Yield","SWATHWIDTH","Swaths","DISTANCE","Heading","WetMass","Moisture"
"1",1599.00732465131,10.678390124248,"2018-09-30T21:40:04.000Z",0,5,7,1.82968675,324.04684448,0,13.83
"2",1598.69478943246,11.1780315878235,"2018-09-30T21:40:04.995Z",0,5,7,1.79687835,326.26684448,0,13.71
"3",1598.40267776821,11.6579880735144,"2018-09-30T21:40:06.005Z",0,5,7,1.73126156,327.95684448,0,13.71
"4",1597.91858489108,12.3221855601156,"2018-09-30T21:40:06.996Z",0,5,7,2.48585473,328.83684448,0,13.71
"5",1597.12515830045,13.3837292401003,"2018-09-30T21:40:07.998Z",67.2992574,5,7,3.96223268,330.00684448,4071.84686004,13.71
"6",1596.11005348808,14.4941523968361,"2018-09-30T21:40:09.004Z",79.04862486,5,7,4.38874187,327.87684448,4782.72580376,13.71
"7",1594.91709833872,15.3950086437672,"2018-09-30T21:40:09.998Z",74.40522872,5,7,4.12627468,322.34684448,4501.78365451,13.71
"8",1593.51206989159,16.2245347827664,"2018-09-30T21:40:11.001Z",66.92614355,5,7,4.32312507,315.88684448,4049.27213132,13.71
"9",1592.07502641917,16.8734691684848,"2018-09-30T21:40:12.005Z",69.91836909,5,7,4.02784948,309.38684448,4230.31252709,13.71
"10",1590.41078532715,17.3917977880847,"2018-09-30T21:40:12.996Z",69.65354124,5,7,4.32312507,301.79684448,4214.2894909,13.71
"11",1588.56207025956,17.8509615926629,"2018-09-30T21:40:14.001Z",56.45281793,5,7,4.65120906,295.06684448,3415.59830416,13.71
"12",1586.55162290981,18.2289534250633,"2018-09-30T21:40:15.004Z",64.72632615,5,7,4.94648465,289.41684448,3916.17527571,13.71
"13",1584.50132190461,18.5484440980243,"2018-09-30T21:40:15.994Z",60.74787198,5,7,4.97929305,285.39684448,3675.46450506,13.71
"14",1582.38610708852,18.815294595245,"2018-09-30T21:40:16.999Z",68.86031203,5,7,5.11052665,282.05684448,4166.29627344,13.71
"15",1580.25333886482,19.0435497784558,"2018-09-30T21:40:18.004Z",72.0360951,5,7,5.14333505,279.79684448,4358.44255874,13.71
"16",1578.0301550582,19.229449468855,"2018-09-30T21:40:18.996Z",70.62353279,5,7,5.34018544,277.90684448,4264.57582007,13.54
"17",1575.7706505367,19.3468945859864,"2018-09-30T21:40:20.002Z",69.76628906,5,7,5.40580224,275.84684448,4212.8114755,13.54
"18",1573.40825549623,19.4338172173142,"2018-09-30T21:40:21.002Z",64.02045197,5,7,5.63546103,274.13684448,3865.85123505,13.54
"19",1570.94628176002,19.4962998104908,"2018-09-30T21:40:21.996Z",64.7674909,5,7,5.86511982,273.13684448,3910.96090333,13.54
"20",1568.43054428977,19.5624319506798,"2018-09-30T21:40:22.999Z",61.98602203,5,7,5.99635342,272.77684448,3743.00293779,13.54
"21",1565.92816497933,19.6263522675776,"2018-09-30T21:40:24.004Z",59.50784403,5,7,5.96354502,272.13684448,3593.35907934,13.54
"22",1563.41673322064,19.6438251455758,"2018-09-30T21:40:24.994Z",61.56509344,5,7,5.96354502,271.04684448,3717.58532152,13.54
"23",1560.89812540571,19.652893384078,"2018-09-30T21:40:25.995Z",62.21335463,5,7,5.99635342,270.67684448,3756.73033243,13.54
"24",1558.34683977349,19.6867336488221,"2018-09-30T21:40:27.001Z",61.01523538,5,7,6.06197022,270.96684448,3684.3823462,13.54
"25",1555.77281240548,19.7045384261177,"2018-09-30T21:40:27.998Z",61.91910535,5,7,6.12758702,270.69684448,3738.96219889,13.54
"26",1553.18730375445,19.6985665678227,"2018-09-30T21:40:28.995Z",63.50709495,5,7,6.16039541,270.27684448,3834.85236203,13.54
"27",1550.6159257832,19.7353927342119,"2018-09-30T21:40:30.003Z",63.32804307,5,7,6.12758702,270.56684448,3824.04038066,13.54
"28",1548.04697689773,19.7067500506061,"2018-09-30T21:40:30.999Z",61.91910535,5,7,6.12758702,269.61684448,3738.96219889,13.54
"29",1545.47537815113,19.7000041461742,"2018-09-30T21:40:32.002Z",63.92128001,5,7,6.12758702,269.81684448,3859.86277299,13.54
"30",1542.89726586731,19.7150443215496,"2018-09-30T21:40:33.001Z",64.06958924,5,7,6.12758702,270.29684448,3868.81837107,13.54
"31",1540.34333073949,19.7366091794243,"2018-09-30T21:40:33.994Z",66.08448448,5,7,6.06197022,270.41684448,3983.11604995,13.38
"32",1537.75296469032,19.7064182951068,"2018-09-30T21:40:34.995Z",56.82616965,5,7,6.16039541,269.69684448,3425.08881115,13.38
"33",1535.20046483996,19.6756745213651,"2018-09-30T21:40:36.004Z",63.23083628,5,7,6.06197022,269.40684448,3811.11785688,13.38
"34",1532.62257362643,19.6427189463341,"2018-09-30T21:40:36.994Z",58.98772513,5,7,6.12758702,268.97684448,3555.37243823,13.38
"35",1530.02679791208,19.6056716350189,"2018-09-30T21:40:37.998Z",63.21406394,5,7,6.19320381,268.88684448,3810.10693557,13.38
"36",1527.42318391114,19.5804573755014,"2018-09-30T21:40:39.000Z",57.70120952,5,7,6.19320381,269.02684448,3477.83016794,13.38
"37",1524.85655315195,19.5332358692489,"2018-09-30T21:40:40.000Z",64.16022249,5,7,6.09477862,268.89684448,3867.13483499,13.38
"38",1522.3305487282,19.4877837424225,"2018-09-30T21:40:40.995Z",58.96913079,5,7,6.02916182,268.43684448,3554.25170031,13.38
"39",1519.8944077678,19.4304986525918,"2018-09-30T21:40:41.997Z",66.72042115,5,7,5.79950303,268.34684448,4021.44591799,13.38
"40",1517.47294962715,19.3921242847051,"2018-09-30T21:40:42.996Z",65.91589511,5,7,5.76669463,268.38684448,3972.95464787,13.38
"41",1515.06319360764,19.3506534376028,"2018-09-30T21:40:43.998Z",63.03794742,5,7,5.73388623,268.45684448,3799.49184917,13.38
"42",1512.63985860118,19.3332910381666,"2018-09-30T21:40:45.002Z",66.70530703,5,7,5.76669463,268.89684448,4020.53494305,13.38
"43",1510.22281648055,19.2929260147023,"2018-09-30T21:40:45.993Z",67.49471894,5,7,5.76669463,268.49684448,4068.11523824,13.38
"44",1507.81239810988,19.2616293287486,"2018-09-30T21:40:46.998Z",70.97723551,5,7,5.73388623,268.46684448,4278.01727098,13.38
"45",1505.385751321,19.2171725579992,"2018-09-30T21:40:48.002Z",68.44201325,5,7,5.76669463,268.35684448,4125.21159246,13.38
"46",1502.94685043576,19.1622098250265,"2018-09-30T21:40:48.998Z",66.76159865,5,7,5.79950303,268.24684448,4030.90814368,13.53
"47",1500.53466561598,19.1230613787859,"2018-09-30T21:40:50.007Z",71.40911188,5,7,5.73388623,268.52684448,4311.51405051,13.53
"48",1498.12347435196,19.0923177048384,"2018-09-30T21:40:50.998Z",70.93357951,5,7,5.73388623,268.88684448,4282.8025252,13.53
"49",1495.74374646744,19.0486350674477,"2018-09-30T21:40:52.002Z",69.34953195,5,7,5.66826943,268.87684448,4187.16146284,13.53
"50",1493.35739454585,19.0459810210961,"2018-09-30T21:40:53.006Z",73.9193855,5,7,5.66826943,269.52684448,4463.07846097,13.53
"51",1490.94719695838,19.0415574625213,"2018-09-30T21:40:54.002Z",72.51868743,5,7,5.73388623,269.53684448,4378.50760956,13.53
"52",1488.53821378672,19.0238632187924,"2018-09-30T21:40:55.003Z",72.04315505,5,7,5.73388623,269.39684448,4349.79608425,13.53
"53",1486.15252445004,19.0063901529923,"2018-09-30T21:40:56.006Z",66.62365439,5,7,5.66826943,269.30684448,4022.57939378,13.53
"54",1483.78913533454,18.9996442595614,"2018-09-30T21:40:56.997Z",65.72128858,5,7,5.63546103,269.54684448,3968.09667074,13.53
"55",1481.40819280201,19.035917570315,"2018-09-30T21:40:57.999Z",60.20982484,5,7,5.66826943,270.48684448,3635.32746658,13.53
"56",1479.04325812257,19.076171983206,"2018-09-30T21:40:59.004Z",66.93088285,5,7,5.63546103,270.69684448,4041.1291248,13.53
"57",1476.666621322,19.0947509496507,"2018-09-30T21:40:59.997Z",60.8512078,5,7,5.66826943,270.83684448,3674.0526593,13.53
"58",1474.31780481664,19.09884269615,"2018-09-30T21:41:01.000Z",63.591677,5,7,5.60265263,270.51684448,3839.5157378,13.53
"59",1471.96004600675,19.1208499098822,"2018-09-30T21:41:02.006Z",57.83273687,5,7,5.60265263,270.59684448,3491.80449114,13.53
"60",1469.60681327116,19.1848810471571,"2018-09-30T21:41:03.000Z",57.75980469,5,7,5.60265263,271.47684448,3496.70183264,13.76
"61",1467.23326758905,19.2392908467018,"2018-09-30T21:41:04.000Z",58.14736611,5,7,5.63546103,271.68684448,3520.16428582,13.76
"62",1464.86126765914,19.2718039330783,"2018-09-30T21:41:05.008Z",56.37801334,5,7,5.63546103,271.22684448,3413.05001986,13.76
"63",1462.50648980045,19.2749003132854,"2018-09-30T21:41:06.004Z",60.34847942,5,7,5.60265263,270.50684448,3653.41676072,13.76
"64",1460.13195084028,19.2473635193233,"2018-09-30T21:41:07.005Z",57.66481535,5,7,5.63546103,269.60684448,3490.9513042,13.76
"65",1457.74283924643,19.2252456950177,"2018-09-30T21:41:08.009Z",63.75857462,5,7,5.70107783,269.34684448,3859.85939383,13.76
"66",1455.30128883264,19.1842171597691,"2018-09-30T21:41:08.998Z",60.41015021,5,7,5.79950303,269.12684448,3657.15022895,13.76
"67",1452.89197439206,19.1712782741182,"2018-09-30T21:41:10.001Z",60.15293002,5,7,5.73388623,269.24684448,3641.57845998,13.76
"68",1450.44104023757,19.1295861830814,"2018-09-30T21:41:11.004Z",59.13779836,5,7,5.83231142,268.93684448,3580.12373806,13.76
"69",1447.99352818335,19.1190802986505,"2018-09-30T21:41:11.997Z",59.44864092,5,7,5.83231142,269.34684448,3598.94173405,13.76
"70",1445.57692741103,19.127374547592,"2018-09-30T21:41:13.006Z",60.20367694,5,7,5.76669463,269.84684448,3644.6506111,13.76
"71",1443.13935112925,19.1240569454523,"2018-09-30T21:41:14.001Z",61.34795332,5,7,5.79950303,270.27684448,3713.92358308,13.76
"72",1440.66015491234,19.1747067972151,"2018-09-30T21:41:15.000Z",59.86309626,5,7,5.89792822,271.03684448,3624.03230952,13.76
"73",1438.23450165725,19.1998105011639,"2018-09-30T21:41:16.001Z",61.69697963,5,7,5.76669463,271.12684448,3735.05317195,13.76
"74",1435.72704391918,19.2272365509697,"2018-09-30T21:41:17.004Z",55.25239523,5,7,5.96354502,271.03684448,3344.90659498,13.76
"75",1433.21726786814,19.2366365787598,"2018-09-30T21:41:17.997Z",58.48507976,5,7,5.96354502,270.81684448,3538.14741615,13.7
"76",1430.71610269898,19.27467922415,"2018-09-30T21:41:19.003Z",48.67418862,5,7,5.96354502,271.05684448,2944.62203685,13.7
"77",1428.23657564301,19.2819780172204,"2018-09-30T21:41:20.006Z",53.6758819,5,7,5.89792822,270.55684448,3247.20738389,13.7
"78",1425.7783554219,19.2409493601756,"2018-09-30T21:41:20.997Z",45.46986721,5,7,5.86511982,269.58684448,2750.77154445,13.7
"79",1423.2941915392,19.2273469187365,"2018-09-30T21:41:22.000Z",49.44640696,5,7,5.89792822,269.56684448,2991.33860722,13.7
"80",1420.83045124563,19.1899678079183,"2018-09-30T21:41:23.003Z",51.03760605,5,7,5.86511982,269.29684448,3087.60071316,13.7
"81",1418.34937843746,19.1808995466284,"2018-09-30T21:41:24.003Z",60.59684088,5,7,5.89792822,269.47684448,3665.90174571,13.7
