"","Longitude","Latitude","IsoTime","AppliedRate","ControlRate","Variety","DISTANCE","Heading"
"1",1638.50356901581,18.7085393294282,"2019-05-16T01:19:21.000Z",18437.4778604533,0,"0100 conventional",1.10756131,6.83627605
"2",1638.54198733542,19.9970112108768,"2019-05-16T01:19:21.755Z",18437.4778604533,0,"0100 conventional",4.289976,6.63627605
"3",1638.93345667756,21.5618446604663,"2019-05-16T01:19:22.800Z",24312.16443364,0,"0100 conventional",5.33984477,5.55627605
"4",1639.10854701329,23.1532196566414,"2019-05-16T01:19:23.754Z",27943.5435966733,0,"0100 conventional",5.27422797,5.22627605
"5",1639.34247919108,24.7400604521922,"2019-05-16T01:19:24.801Z",28073.04300219,0,"0100 conventional",5.27422797,4.69627605
"6",1639.58226239042,26.3308825628666,"2019-05-16T01:19:25.800Z",28311.80753111,0,"0100 conventional",5.27422797,4.59627605
"7",1639.59429564896,27.9603003902528,"2019-05-16T01:19:26.754Z",28626.1133799167,0,"0100 conventional",5.37265317,5.15627605
"8",1639.79610215135,29.5492424519754,"2019-05-16T01:19:27.800Z",28438.6090323433,0,"0100 conventional",5.27422797,4.90627605
"9",1639.9111362298,31.1741260590928,"2019-05-16T01:19:28.754Z",28337.4376217867,0,"0100 conventional",5.40546157,5.17627605
"10",1640.03941816556,32.7401759358337,"2019-05-16T01:19:29.800Z",28523.5930172167,0,"0100 conventional",5.17580278,3.89627605
"11",1640.29520910645,34.4579539077679,"2019-05-16T01:19:30.800Z",28504.7076872433,0,"0100 conventional",5.73354556,2.78627605
"12",1640.4145486841,36.5059508503958,"2019-05-16T01:19:31.800Z",27982.6632087533,0,"0100 conventional",6.75060593,3.01627605
"13",1640.56678661831,38.483281628357,"2019-05-16T01:19:32.800Z",27526.7173851633,0,"0100 conventional",6.58656393,3.93627605
"14",1640.72984348527,40.4691277884831,"2019-05-16T01:19:33.754Z",27618.4461307367,0,"0100 conventional",6.58656393,4.99627605
"15",1640.93772171543,42.4701246380568,"2019-05-16T01:19:34.800Z",27644.0762214167,0,"0100 conventional",6.61937233,6.03627605
"16",1641.38096723852,44.6386637714896,"2019-05-16T01:19:35.800Z",27784.3672440567,0,"0100 conventional",7.24273191,7.13627605
"17",1641.70608746269,47.0582400773341,"2019-05-16T01:19:36.800Z",27425.5459746067,0,"0100 conventional",8.06294188,9.14627605
"18",1642.17748441036,49.4662040793722,"2019-05-16T01:19:37.800Z",27289.3018083833,0,"0100 conventional",8.03013349,9.39627605
"19",1642.67018810067,51.8517183678004,"2019-05-16T01:19:38.752Z",27236.6926748933,0,"0100 conventional",7.96451669,9.06627605
"20",1643.20892760233,54.2029498042679,"2019-05-16T01:19:39.751Z",27192.1772542433,0,"0100 conventional",7.86609149,7.68627605
"21",1643.60602716726,56.5581626312941,"2019-05-16T01:19:40.754Z",27256.9269570067,0,"0100 conventional",7.83328309,7.01627605
"22",1644.04551931675,58.913375520397,"2019-05-16T01:19:41.751Z",27599.5608007667,0,"0100 conventional",7.86609149,6.58627605
"23",1644.41049319217,61.2894897911573,"2019-05-16T01:19:42.754Z",27912.5176974367,0,"0100 conventional",7.89889989,6.40627605
"24",1644.81002148555,63.6805334917128,"2019-05-16T01:19:43.752Z",27982.6632087567,0,"0100 conventional",7.93170829,5.93627605
"25",1645.13922661408,66.0754478418127,"2019-05-16T01:19:44.751Z",28047.4129115167,0,"0100 conventional",7.93170829,5.59627605
"26",1645.57121171199,68.4661598740874,"2019-05-16T01:19:45.754Z",28008.29329943,0,"0100 conventional",7.96451669,5.49627605
"27",1645.84455570501,70.8542178254099,"2019-05-16T01:19:46.752Z",28349.5781910533,0,"0100 conventional",7.93170829,5.60627605
"28",1646.14284957807,73.2370779213049,"2019-05-16T01:19:47.751Z",28446.70274519,0,"0100 conventional",7.89889989,5.04627605
"29",1646.32047917341,75.6212648694812,"2019-05-16T01:19:48.754Z",28537.0825386267,0,"0100 conventional",7.86609149,3.64627605
"30",1646.58245254582,78.0249151934838,"2019-05-16T01:19:49.751Z",28628.8112842,0,"0100 conventional",7.96451669,1.14627605
"31",1646.73568434278,80.4569871727433,"2019-05-16T01:19:50.754Z",28607.2280499467,0,"0100 conventional",8.06294188,359.77481079
"32",1646.58466064022,82.8261344522247,"2019-05-16T01:19:51.753Z",28508.7545436667,0,"0100 conventional",7.83328309,0.04153238
"33",1646.66215961299,85.2814304898356,"2019-05-16T01:19:52.751Z",28465.58807516,0,"0100 conventional",8.12855868,0.15153238
"34",1646.70720151296,87.6715900805763,"2019-05-16T01:19:53.754Z",28472.3328358633,0,"0100 conventional",7.89889989,2.03153238
"35",1646.74153485917,90.0679427256749,"2019-05-16T01:19:54.751Z",28488.5202615533,0,"0100 conventional",7.89889989,4.16153238
"36",1646.96420631212,92.4826529190219,"2019-05-16T01:19:55.751Z",28483.1244529933,0,"0100 conventional",7.99732509,5.44153238
"37",1647.25355785216,94.8846452803675,"2019-05-16T01:19:56.754Z",28439.9579844867,0,"0100 conventional",7.96451669,6.32153238
"38",1647.52370029123,96.7998249292971,"2019-05-16T01:19:57.751Z",28499.3118786833,0,"0100 conventional",6.35690514,6.71153238
"39",1647.6350912778,97.4398032390512,"2019-05-16T01:19:58.755Z",29121.17881559,0,"0100 conventional",2.12462167,6.78153238
"40",1653.03773696633,105.066144232455,"2019-05-16T01:20:59.001Z",22972.6549578233,0,"0100 conventional",1.1731781,85.63153238
"41",1657.41885782876,105.21897810415,"2019-05-16T01:21:00.800Z",26682.18043897,0,"0100 conventional",10.48283915,84.30153238
"42",1660.41879726622,105.431972441422,"2019-05-16T01:21:01.801Z",30138.2887297533,0,"0100 conventional",7.17711511,84.43153238
"43",1663.5144513508,105.695616530377,"2019-05-16T01:21:02.801Z",23582.3813254633,0,"0100 conventional",7.4395823,84.76153238
"44",1666.58548665939,105.806426663559,"2019-05-16T01:21:03.800Z",26412.48291686,0,"0100 conventional",7.34115711,84.74153238
"45",1669.62892337025,105.967554853426,"2019-05-16T01:21:04.800Z",27557.7432844033,0,"0100 conventional",7.34115711,86.43153238
"46",1672.66948957156,106.123485331665,"2019-05-16T01:21:05.754Z",28651.74347059,0,"0100 conventional",7.27554031,87.71153238
"47",1675.69404779129,106.203551754449,"2019-05-16T01:21:06.801Z",28492.56711798,0,"0100 conventional",7.20992351,88.19153238
"48",1678.75669278575,106.274881622637,"2019-05-16T01:21:07.800Z",28449.40064947,0,"0100 conventional",7.30834871,87.93153238
"49",1681.82684491023,106.411127213161,"2019-05-16T01:21:08.752Z",28421.07265452,0,"0100 conventional",7.34115711,87.91153238
"50",1684.88639860422,106.437115594507,"2019-05-16T01:21:09.800Z",28433.2132237833,0,"0100 conventional",7.30834871,87.25153238
"51",1687.97266897631,106.535871552062,"2019-05-16T01:21:10.753Z",28527.63987364,0,"0100 conventional",7.37396551,87.73153238
"52",1691.03277517553,106.590834277721,"2019-05-16T01:21:11.800Z",28527.6398736367,0,"0100 conventional",7.30834871,88.24153238
"53",1694.12721501748,106.765454263227,"2019-05-16T01:21:12.801Z",28528.98882578,0,"0100 conventional",7.40677391,88.85153238
"54",1697.21436800105,106.800400346455,"2019-05-16T01:21:13.800Z",28522.2440650767,0,"0100 conventional",7.37396551,88.06153238
"55",1700.33740032701,106.849944185696,"2019-05-16T01:21:14.800Z",28519.5461607933,0,"0100 conventional",7.4395823,87.67153238
"56",1704.05812456864,106.959427261507,"2019-05-16T01:21:15.800Z",28336.0886696433,0,"0100 conventional",8.85034346,87.96153238
"57",1707.77531682061,107.102640016968,"2019-05-16T01:21:16.754Z",27924.6582667,0,"0100 conventional",8.94876866,89.89153238
"58",1711.51315267214,107.112924797435,"2019-05-16T01:21:17.800Z",27841.0232339733,0,"0100 conventional",8.91596026,90.23153238
"59",1715.26202795711,107.139576727504,"2019-05-16T01:21:18.800Z",27824.8358082833,0,"0100 conventional",8.91596026,89.84153238
"60",1718.98275193989,107.099211751573,"2019-05-16T01:21:19.800Z",27789.76305262,0,"0100 conventional",8.88315186,89.56153238
"61",1722.70137860887,107.078089268992,"2019-05-16T01:21:20.800Z",27776.2735312133,0,"0100 conventional",8.88315186,89.81153238
"62",1726.36568990318,107.123098986187,"2019-05-16T01:21:21.756Z",27822.137904,0,"0100 conventional",8.75191826,90.40153238
"63",1730.10352555704,107.135042589743,"2019-05-16T01:21:22.800Z",27846.41904253,0,"0100 conventional",8.88315186,90.28153238
"64",1733.82491183416,107.110823598841,"2019-05-16T01:21:23.800Z",27765.4819140867,0,"0100 conventional",8.85034346,89.82153238
"65",1737.52620581992,107.132609612858,"2019-05-16T01:21:24.754Z",27780.3203876333,0,"0100 conventional",8.81753506,89.42153238
"66",1741.13851943168,107.159703892503,"2019-05-16T01:21:25.800Z",27955.68416594,0,"0100 conventional",8.62068467,88.90153238
"67",1744.43222617596,107.221633697448,"2019-05-16T01:21:26.800Z",28388.69780314,0,"0100 conventional",7.83328309,88.54153238
"68",1747.77340393773,107.279250539419,"2019-05-16T01:21:27.800Z",28742.1232640267,0,"0100 conventional",7.96451669,88.45153238
"69",1751.16989078474,107.331227346116,"2019-05-16T01:21:28.800Z",28867.5758131233,0,"0100 conventional",8.09575028,88.36153238
"70",1754.54639582607,107.423458543314,"2019-05-16T01:21:29.752Z",28860.8310524167,0,"0100 conventional",8.03013349,88.50153238
"71",1757.96021516646,107.501202580929,"2019-05-16T01:21:30.802Z",28809.5708710667,0,"0100 conventional",8.12855868,88.63153238
"72",1761.37392408395,107.586687846126,"2019-05-16T01:21:31.755Z",28728.6337426167,0,"0100 conventional",8.12855868,88.68153238
"73",1764.82549932096,107.63401992256,"2019-05-16T01:21:32.801Z",28663.8840398567,0,"0100 conventional",8.22698388,88.74153238
"74",1768.24859209527,107.711985142034,"2019-05-16T01:21:33.800Z",28736.7274554633,0,"0100 conventional",8.16136708,88.94153238
"75",1771.65424199092,107.771703179457,"2019-05-16T01:21:34.800Z",28735.3785033233,0,"0100 conventional",8.09575028,88.99153238
"76",1775.0964333915,107.823569399939,"2019-05-16T01:21:35.800Z",28705.7015562267,0,"0100 conventional",8.19417548,88.93153238
"77",1778.50241447276,107.876873275007,"2019-05-16T01:21:36.753Z",28604.5301456667,0,"0100 conventional",8.09575028,88.94153238
"78",1781.98203062043,107.95649732307,"2019-05-16T01:21:37.800Z",28313.15648325,0,"0100 conventional",8.29260068,88.93153238
"79",1785.46164668182,108.018758900805,"2019-05-16T01:21:38.800Z",28176.9123170333,0,"0100 conventional",8.29260068,88.73153238
"80",1788.96124456929,108.060893281325,"2019-05-16T01:21:39.800Z",28183.6570777333,0,"0100 conventional",8.32540908,88.29153238
"81",1792.43975694588,108.118178372508,"2019-05-16T01:21:40.800Z",28205.24031199,0,"0100 conventional",8.32540908,88.73153238
"82",1795.96342180381,108.267252293241,"2019-05-16T01:21:41.800Z",28236.2662112233,0,"0100 conventional",8.39102587,89.04153238
"83",1799.43420600845,108.315026712178,"2019-05-16T01:21:42.800Z",28236.2662112233,0,"0100 conventional",8.25979228,88.69153238
"84",1802.92232281002,108.394208409094,"2019-05-16T01:21:43.800Z",28267.2921104633,0,"0100 conventional",8.29260068,88.80153238
"85",1806.42192073043,108.533439893435,"2019-05-16T01:21:44.800Z",28244.35992407,0,"0100 conventional",8.35821747,88.43153238
"86",1809.91368046857,108.497056117117,"2019-05-16T01:21:45.800Z",28224.1256419567,0,"0100 conventional",8.32540908,88.14153238
"87",1813.40279154863,108.608972190243,"2019-05-16T01:21:46.800Z",28256.5004933367,0,"0100 conventional",8.32540908,89.82153238
