"Sample","Easting","Northing","AppliedRate","ControlRate","Yield"
"3",13.3555548559021,274.39591493967,25997.0056575,26000,215.446293815536
"4",13.351073525803,272.936917582648,26197.99952648,26000,214.567024897035
"5",13.3352540352524,271.159731388639,26223.62961715,26000,214.010540941393
"6",13.3865905777833,269.536978731237,26223.62961715,26000,213.033007983455
"7",13.234030858195,267.996051931102,25880.99577339,26000,211.92236043794
"8",13.3116693235621,266.102027856376,25880.99577339,26000,210.32980927032
"9",13.0189966583042,264.518083338601,27420.15016604,26000,208.701151509652
"10",12.9897318148393,262.343790441566,27420.15016604,26000,206.658557361944
"11",12.9573532308152,260.124836207006,24217.7377837833,26000,204.470562173126
"12",12.9459683329182,257.98509650608,24577.90800538,26000,202.804198447734
"13",12.8551575253486,255.799772774253,24675.0325595133,26000,202.062653205275
"14",12.7807990729259,253.667732152965,24978.5467911933,26000,201.567813035143
"15",12.6554907930741,251.500115064789,24778.9018743567,26000,201.862249640996
"16",12.5565524155033,249.359461915813,24970.45307835,26000,202.619196737025
"17",12.5166795045791,247.194108937267,25094.5566753,26000,203.666542111307
"18",12.5660282713043,245.017027344131,25178.1917080333,26000,205.100903066484
"19",12.498728296038,242.895334556058,25179.5406601767,26000,205.667652866976
"20",12.4046814088804,240.77511348073,25593.6689674,26000,206.216404293053
"21",12.3957085779454,238.586777148065,25791.9649321,26000,206.827646200911
"22",12.2790416093752,236.399850320381,25835.1314006,26000,206.588575325021
"23",12.3346723477025,234.242211335624,25885.0426298133,26000,206.097605436084
"24",12.2694837536842,232.07078853945,25885.0426298133,26000,204.613133216761
"25",12.5304770340409,230.116743484488,26110.3176373233,26000,203.071354184158
"26",12.7600140359397,227.745500203334,26108.9686851833,26000,200.350348030283
"27",12.8095458554253,225.574705254983,26079.2917380833,26000,196.939993212818
"28",12.8520102981627,223.384917649548,26197.9995264767,26000,193.071286157935
"29",12.9568940904154,221.187533531268,26119.76030231,26000,188.594583737919
"30",13.0671647458438,218.93055630196,26185.85895721,25333,182.967969331971
"31",13.2096321942183,216.725526453829,25840.5272091633,25333,176.363684536944
"32",13.3727713410767,214.521618282208,25762.2879849967,25333,168.432658822976
"33",13.7166604871735,212.287160540199,25654.3718137333,25333,159.909991611537
"34",14.1086763660168,210.08975655472,25002.8279297267,24667,151.212943208431
"35",14.4389078038665,207.892505720947,25403.4667155467,24667,142.032650890794
"36",14.839466883995,205.677138006986,25186.2854208767,24667,134.588236863068
"37",15.406009094393,203.542951519926,25094.5566753033,24667,131.243113813245
"38",15.8052219862685,201.339483318071,25087.8119146,24667,127.58830751635
"39",16.5496313889509,199.148609156112,24978.5467911933,24667,126.576397141394
"40",17.5390192225447,197.062181822033,25035.2027811067,24667,128.610486740373
"41",18.5003224218827,194.869814819867,25035.2027811067,24667,131.127215318654
"42",19.7486435555238,192.793436232243,24892.2138541833,25333,138.113041525001
"43",21.0232503520699,190.77911170031,25121.53571812,25333,146.50665760759
"44",22.3098982648496,188.83844945534,25326.57644352,25333,154.57022297495
"45",23.3612638496748,186.732608155561,26049.61479099,24667,160.319034955029
"46",24.0145773802781,184.56059796488,25495.1954611233,24667,163.81093772877
"47",24.5908654670016,182.600186153632,26343.6863576833,24667,166.580627171103
"48",24.8041497529053,181.043935044479,27233.9947706133,24667,166.884862327589
"49",24.8178333619139,181.095164227882,27233.9947706133,24667,167.01299891523
"51",37.6447617635672,185.218091238923,24285.18539082,26000,218.316102403838
"52",38.4680841389643,182.955911843964,25997.0056575,26000,214.960655974364
"53",37.3473213111189,182.109024202905,25997.0056575,26000,211.302569292866
"54",36.2029769778335,181.840148789815,25997.0056575,26000,208.875343571256
"55",34.1497289677349,181.549810861218,25597.176242966,25600,205.099095883091
"57",31.0828128689539,180.784134203074,20400.203225315,25000,196.312313262119
"58",27.7848902931536,180.575671604102,21381.3819597282,24727,183.742930157933
"59",27.7962390706621,180.439354834542,25065.8607843091,24727,183.717180754051
