"Sample","Easting","Northing","AppliedRate","ControlRate","Yield"
"1",974.697152455311,608.031341105172,24997.43212116,25000,181.82214960183
"2",974.552344847779,607.790311620349,24997.43212116,25000,182.287223868977
"4",975.935958718024,604.687379185684,20784.6545854467,25000,181.577929605092
"5",976.538199531969,603.130941970336,22395.30344156,25000,181.738912877663
"6",976.778503134328,601.543376089132,24722.2458844433,25000,182.691776248656
"7",976.90600239215,599.909358448908,25404.8156676867,25000,183.564136400215
"8",976.958671138346,598.284695886487,25268.5715014667,25000,184.778494013469
"9",976.861180749323,596.680176266173,24993.38526474,25000,186.846421302374
"10",976.858369316343,594.937008602822,24554.97581898,25000,189.542012492459
"11",976.599068992034,592.978774657531,24165.12865029,25000,193.415399728161
"12",976.368528518676,591.159095740765,24232.57625733,25000,197.078057317051
"13",976.16807942512,589.367116582472,24351.2840457233,25000,200.902070335707
"14",975.541635607605,587.52576038529,24465.94497769,25000,205.316261448899
"15",975.832579428092,585.577420174563,24503.7156376333,25000,209.262765633172
"16",975.898227326865,583.641861507661,24457.8512648433,25000,213.60130653004
"17",975.567495165037,581.666864909445,25319.8316828167,25667,218.365157069941
"18",976.026206417776,579.767945793679,25137.72314381,25667,222.579002405054
"19",976.001407718549,577.4914288901,24935.38032269,25667,227.366389021661
"20",976.773199066372,575.202136478914,24026.18657979,26000,230.504410246899
"21",977.099462080469,572.883230397877,24680.4283680767,26000,231.99428107448
"22",977.143030151438,570.519637157238,25369.7429120267,26000,234.097127252397
"23",976.938879574289,568.196935775326,25538.3619296267,26500,235.865256974453
"24",977.226548484814,566.113327326713,26456.9983375133,26500,236.476475675321
"25",977.345736777418,563.653090547834,26533.8886095367,26500,237.120016954583
"26",977.283851416453,561.337110187479,26520.3990881267,26500,237.278627256396
"27",977.300942845092,559.024758802731,26466.4410024933,26500,236.581782291634
"28",977.232070556183,556.677079223344,26625.61735511,26500,236.017172195309
"29",977.265017176376,554.408619549096,26612.1278337033,26500,235.525628314984
"30",977.264058969555,552.091271251134,26612.1278337033,26500,234.948996537752
"31",977.342600085363,549.774762041107,26609.42992942,26500,233.172864138228
"32",977.238391828879,547.443170140061,26617.5236422667,26500,231.734666447884
"33",977.352828336067,545.126227005846,26558.1697480667,26500,230.924806613707
"34",977.395982174317,542.716780809057,26417.8787254267,26000,230.54797357209
"35",977.459606176006,540.348917101878,26200.69743076,26000,230.537742948451
"36",977.452484558376,538.01504178199,26287.0303677667,26000,230.736915674978
"37",977.426947064829,535.63938260462,26179.1141965067,26000,231.234753170193
"38",977.395796967947,533.231503900559,26126.5050630167,26000,231.671309056974
"39",977.521293405318,530.857082416907,26125.1561108767,26000,231.991110950712
"40",977.530090221705,528.556141775063,26030.7294610167,26000,232.341476067846
"41",977.516012916422,526.112564553279,25844.57406559,25667,232.611939761918
"42",977.540105627799,523.72545680802,26022.63574817,25667,232.839110846776
"43",977.502979593272,521.351715177746,26137.29668014,25667,233.117929569983
"44",977.598240520106,518.971602357128,26057.70850383,25667,233.321831759784
"45",977.665207877009,516.603106354782,26022.6357481733,25667,233.424530565761
"46",977.617632423021,514.217901077858,25933.60490688,25667,233.471072301228
"47",977.609502771507,511.798151624925,25955.18814113,25667,233.396523547552
"48",977.597758621297,509.507590304862,25936.3028111633,25667,233.547552224389
"49",977.66261306663,506.999192626591,25887.7405340933,25667,233.831549502635
"50",977.762974635866,504.625899049282,25898.5321512233,25667,234.125233362555
"51",977.75725693213,502.219965214029,25862.1104434167,25667,234.400530304319
"52",977.788349787348,499.812672356418,25767.6837935633,25667,234.55061711138
"53",977.758582075311,497.387647827576,25767.6837935633,25667,234.803743741884
"54",977.856055767343,495.028678206887,25662.46552658,25667,235.145164107777
"55",977.956990736595,492.650068116538,25669.21028728,25667,235.577351737271
"56",977.920200401279,490.238289574684,25744.7516071667,25667,235.993391418313
"57",977.92264821719,487.79719890365,25708.3298993667,26000,236.372165973095
"58",978.011792916469,485.406381347575,25623.3459144967,26000,236.686546659236
"59",978.070806275645,483.033886905375,25686.7466651133,26000,237.054455124117
"60",978.089145589521,480.620911073657,25822.9908313333,26000,237.473073316579
"61",978.136910071855,478.198067670088,25876.9489169633,26000,237.86937989696
"62",978.166503562756,475.779777338451,25796.01178852,26000,238.287669446221
"63",978.187764202799,473.428884133031,25848.62092201,26000,238.739884658565
"64",978.224690285011,470.962363923932,25813.54816635,26500,239.221127342221
"65",978.238450265784,468.563172235433,26145.3903929833,26500,239.667473496959
"66",978.247551470401,466.341703058684,26305.9156977433,26500,239.986621593878
"67",978.279108462375,463.737997763145,26335.59264484,26500,240.114703924956
"68",978.345101270487,461.368860327228,26349.0821662467,26500,240.066199534852
"69",978.35874559919,458.952318904136,26413.8318690067,26500,239.976691594338
"70",978.381638148971,456.549046570205,26451.6025289467,26500,239.930082133814
"71",978.380021835029,454.159437981981,26451.6025289467,26500,239.876604384031
"72",978.348391212296,451.768923060357,26483.9773803267,26500,239.782027522431
"73",978.358492224045,449.378537560715,26517.7011838467,26500,239.680341152596
"74",978.405188573382,447.031225558963,26365.2695919333,27000,239.476471138823
"75",978.412947317325,444.636619883872,26749.7209520633,27000,239.20872050122
"76",978.44695059045,442.308792129047,26991.1833852667,27000,238.884965797389
"77",978.497210915517,439.873967536263,26995.23024169,27000,238.468928640982
"78",978.563926331497,437.580908161117,27019.5113802267,27000,238.007491048525
"79",978.6025999441,435.357780806911,27037.0477580533,27000,237.508961995074
"80",978.606099877782,432.790632328898,27014.11557166,27500,236.997138479044
"81",978.604429829974,430.430327873161,27282.55704768,27500,236.579674215203
"82",978.518191809883,428.121540921573,27389.1242668,27500,236.215158162789
"83",978.496063848436,425.740401145314,26570.3103173367,27500,235.652959358786
"84",978.450631091664,423.333104042234,26852.2413147633,27500,234.863751836592
"85",978.428720236652,420.999009351107,27019.5113802267,27500,234.022862036242
"86",978.453021788441,418.641778886879,27134.1723121933,27500,233.108039089771
"87",978.530668437863,416.269924548742,27178.6877328367,27500,232.174956737472
"88",978.583107852957,413.938773394652,27198.9220149533,27500,231.265019484124
"89",978.649040213219,411.579503448865,27231.29686633,27500,230.402340511793
"90",978.741702798313,409.249175690268,27271.7654305567,27500,229.624975276649
"91",978.76708019931,406.917510714193,27236.6926748933,27500,229.065349555201
"92",978.827883317544,404.558592669315,27270.4164784133,27500,228.654979738272
"93",978.82678167275,402.238136317084,27560.4411886867,27500,228.356707722615
"94",978.857075358059,399.828904409229,27526.7173851633,27500,228.030862462669
"95",978.867009128137,397.483080847103,27526.7173851667,27500,227.741371025238
"96",978.902946181094,395.083570090738,27526.7173851633,27500,227.522231855235
"97",978.997532855199,392.747787378934,27657.5657428233,26000,227.385743502589
"98",978.998159027695,390.441577779118,27174.6408764167,26000,227.320550703235
"99",978.982477212139,388.060741955031,27030.3029973467,26000,227.240022115081
"100",978.984467664972,385.736897644589,26849.54341048,26000,226.991177462833
"101",979.039522748724,383.334388702265,26740.2782870767,26000,226.520603824235
"102",979.087960926121,380.996349033706,26583.79983875,26000,225.799356801457
"103",979.053929402109,378.686877859907,26516.3522317067,26000,225.068331259906
"104",979.015270717675,376.272732881156,26488.02423675,26000,224.294081515265
"105",979.123297160747,373.891036747289,26357.1758790933,26000,223.340135148854
"106",979.157645548998,371.552560052356,26372.01435264,26000,222.367962361984
"107",979.33632876656,369.165551687062,26254.6555163933,26000,221.20898627149
"108",979.342592467704,366.8865103111,26192.6037179133,26000,220.173829145049
"109",979.534916994718,364.396771046044,26129.2029672967,26000,218.768304617195
"110",979.669210234339,361.878441864014,26011.8441310467,25667,217.042559204497
"111",979.843753479474,359.225415516662,23887.24450929,25667,214.269940723869
"112",979.471571119118,356.458393128241,24590.0485746433,25667,211.203344162425
"113",978.95692563242,353.230094639547,21705.9888976133,26000,207.326431305976
"114",977.642926169408,349.741068513622,23837.3332800767,25667,203.071305402593
"115",976.281512664505,346.429020072241,23737.5108216567,25667,198.758770678187
"116",974.996794688489,343.150343112122,24425.4764134633,25667,194.416149435857
"117",973.632677337726,339.940084335936,24880.0732849167,25667,189.875794076101
"118",972.428674228089,336.787419026382,25172.7958994667,25667,185.935091861854
"119",971.395647908994,333.980148596019,25395.3730027,25667,183.625628679932
"120",970.67322446201,331.099300196662,25690.7935215333,25667,182.438259232808
"121",970.206569538576,328.205838685375,25731.2620857567,25667,182.374721320751
"122",969.8699348358,325.455270212419,25755.5432242967,25667,183.431594315097
"123",969.709791618036,322.63170219776,25808.1523577867,25667,185.580424786177
"124",969.820619266023,319.749346330778,24989.3384083233,25333,188.851765247484
"125",969.840891992142,316.704544255471,24908.40127987,25333,193.572990466807
"126",970.273942497727,313.96930377883,24818.0214864367,25333,197.956470481804
"127",970.816168648306,311.412727621326,25595.01791954,25333,201.930072433409
"128",971.616316976609,308.859008953694,25804.10550136,25333,205.526367599908
"129",972.369172900184,306.338286586661,25810.8502620667,25667,208.830872375553
"130",972.928688714734,303.797599771093,25225.40503296,25667,211.956088056476
"131",973.782069066433,301.255856240741,25613.90324951,25667,214.640774868078
"132",974.635449099242,298.753431749712,25507.3360303867,25667,217.199488421017
"133",975.34574584815,296.238604298651,25858.0635869967,26000,219.855724802409
"134",976.336615531592,293.83255155019,26253.30656425,26000,222.446698183111
"135",977.300163303455,291.428083654284,26029.3805088733,26000,225.146241765123
"136",978.298890426723,289.036850636272,26028.0315567367,26000,227.781312860149
"137",979.104081489708,286.594928301962,26029.3805088767,26000,230.219205989462
"138",979.610759458028,284.182530657877,26060.4064081167,26000,232.297485978259
"139",979.958602502398,281.788945860561,26210.1400957433,26000,234.128716990236
"140",980.098435916325,279.393947800561,26265.4471335133,26000,235.687676193738
"141",980.131102784557,276.949877741339,26177.7652443667,26000,236.978858594175
"142",980.148984399185,274.552411621914,26164.2757229567,26000,237.995194827603
"143",980.162223571772,272.169462928506,26181.8121007867,26000,238.833096636953
"144",980.168492340609,269.761367932606,26121.10925445,26000,239.68881846248
"145",980.218162538823,267.353656577662,26165.6246750933,26000,240.555599071965
"146",980.25041948643,264.973198460461,26183.1610529267,26000,241.495628550164
"147",980.283276760678,262.555984842807,26200.69743076,26000,242.404013442741
"148",980.318308116957,260.210461721286,26125.1561108767,26000,243.227465807544
"149",980.379205667678,257.759856459732,25998.35460964,26000,243.978191006802
"150",980.42782823144,255.532121530038,25899.8811033633,26000,244.566341644928
"151",980.410282894111,252.894275762294,25959.2349975567,26000,245.211271028508
"152",980.390153673513,250.460503281304,25995.6567053533,26000,245.790488977546
"153",980.485715202732,248.116709161062,26022.63574817,26000,246.150647304793
"154",980.548939026456,245.613113081639,25959.2349975567,26000,246.475971631295
"155",980.574190592874,243.166403948298,25972.7245189633,26000,246.794965905361
"156",980.577590514268,240.715168862797,25939.0007154433,26000,247.068133002715
"157",980.580280539437,238.259132858132,25870.20415626,26000,247.337667459126
"158",980.661154196099,235.789947020892,25960.5839496967,26000,247.542654307624
"159",980.716140086856,233.39335810119,25723.1683729133,27000,247.728661350334
"160",980.706382162214,230.941991090271,25972.7245189633,27000,247.983120134686
"161",980.650526609426,228.524947432033,26268.1450377967,27000,248.299983639542
"162",980.639030793375,226.068405711299,26532.5396573933,27000,248.599550300336
"163",980.678888571199,223.634418509992,26465.0920503533,27000,248.778887723157
"164",980.708365586885,221.20019648309,26662.03906291,27000,248.781442030633
"165",980.679888819752,218.756381716191,26640.45582866,26000,248.649048924594
"166",980.670922556164,216.310241049043,27084.26108298,26000,248.378091450281
"167",980.696640257509,213.838877718318,26772.6531384567,26000,247.968075483325
"168",980.724255575224,211.438272485831,26564.9145087733,26000,247.548236828527
"169",980.776417910442,208.975460317228,26432.7171989767,26000,247.06126305201
"170",980.878810920176,206.559658517244,26309.9625541667,26000,246.604370764531
"171",980.858128710139,204.178199012294,26330.1968362733,26000,246.091686886961
"172",980.850136923081,201.738303235338,26304.5667456,26000,245.560359578067
"173",980.770756226217,199.353206550646,26277.58770278,26000,244.963344042567
"174",980.861598022461,196.930579868728,26204.7442871833,26000,244.21443819486
"175",980.954437134757,194.548683078888,26222.28066501,26000,243.398391867001
"176",980.87748200843,192.122750129662,26142.6924887067,26000,242.630991941453
"177",980.910623184931,189.702244958083,26072.5469773833,26000,241.818980751181
"178",980.938206520895,187.291898931642,26045.5679345633,26000,241.019450327172
"179",981.005821807122,184.91371801791,26032.0784131567,26000,240.176292420758
"180",981.025866964678,182.489541625832,26076.5938338033,26000,239.173011048839
"181",981.038346503518,180.077486166714,26034.77631744,26000,237.969192289412
"182",981.120937003233,177.663387562032,26068.50012096,26000,236.49529926576
"183",981.150278327004,175.291188885942,26052.3126952733,26000,234.873651579529
"184",981.161259082756,172.848104238367,26114.3644937467,26000,232.992794733222
"185",981.219367623382,170.400237372751,26049.61479099,26000,230.996623783481
"186",981.297657514593,168.002933112326,26025.3336524533,26000,228.958445455963
"187",981.310769570754,165.629895625674,26052.31269527,26000,226.978413193569
"188",981.33801498784,163.255755990725,26068.50012096,26000,225.09874948371
"189",981.371230469013,160.918599698761,26129.2029672967,26000,223.355343887559
"190",981.450605114808,158.559044508996,26113.0155416067,26000,221.814877265378
"191",981.437776976607,156.217720603523,26080.6406902267,26000,220.441059624697
"192",981.450973579644,154.036148050264,26088.7344030733,26000,219.307381858674
