"","Group.1","X","Y","AppliedRate","SWATHWIDTH","DISTANCE","Heading","ControlRate","TargetRate","Elevation","Variety"
"1","2018-05-20T13:20:07.000Z",-97.6006204616747,44.0954391322467,0,2.5,3.22304698,91.0786972,24000,23997.85858483,1518.37847051,"5299 VT2P"
"2","2018-05-20T13:20:07.200Z",-97.600620657839,44.0953842174503,0,2.5,0.66399186,90.9686972,24000,23997.85858483,1518.38175135,"5299 VT2P"
"3","2018-05-20T13:20:08.201Z",-97.600607102649,44.0953837377835,20199.20935634,2.5,3.58393937,90.5186972,24000,23997.85858483,1518.49658075,"5299 VT2P"
"4","2018-05-20T13:20:09.200Z",-97.6005940265514,44.0953830954817,23765.8388166167,2.5,3.45270577,90.2786972,24000,23997.85858483,1518.62125267,"5299 VT2P"
"5","2018-05-20T13:20:10.200Z",-97.600579105568,44.0953833248902,25345.46177349,2.5,3.91202336,90.5986972,24000,23997.85858483,1518.71639702,"5299 VT2P"
"6","2018-05-20T13:20:11.200Z",-97.6005652404934,44.0953833247376,25779.82436283,2.5,3.64955617,90.9886972,24000,23997.85858483,1518.7065545,"5299 VT2P"
"7","2018-05-20T13:20:12.201Z",-97.6005515407094,44.0953836484654,24994.73421688,2.5,3.61674777,91.2986972,24000,23997.85858483,1518.86403482,"5299 VT2P"
"8","2018-05-20T13:20:13.200Z",-97.6005372251781,44.0953839622756,25171.44694733,2.5,3.78078976,91.4686972,25333.3042959667,25330.6232999433,1518.88371986,"5299 VT2P"
"9","2018-05-20T13:20:14.201Z",-97.6005232693459,44.0953825825648,24529.3457283067,2.5,3.81359816,90.9386972,25333.3042959667,25330.6232999433,1518.98214505,"5299 VT2P"
"10","2018-05-20T13:20:15.200Z",-97.6005071304741,44.0953819277526,24313.51338578,2.5,4.24010735,91.2086972,25333.3042959667,25330.6232999433,1519.10681697,"5299 VT2P"
"11","2018-05-20T13:20:16.200Z",-97.6004888305606,44.0953824278629,23881.8487007267,2.5,4.83065853,92.2186972,25333.3042959667,25330.6232999433,1519.25773561,"5299 VT2P"
"12","2018-05-20T13:20:17.200Z",-97.6004677597942,44.0953801802975,21264.88154757,2.5,5.7492937,91.9886972,25999.95644395,25997.0056575,1519.33647576,"5299 VT2P"
"13","2018-05-20T13:20:18.200Z",-97.6004483365122,44.095381956006,23041.4515170067,2.5,5.35559291,94.2886972,25999.95644395,25997.0056575,1519.4709902,"5299 VT2P"
"14","2018-05-20T13:20:19.200Z",-97.6004271755724,44.095380859908,23763.1409123333,2.5,5.58525171,93.9986972,25999.95644395,25997.0056575,1519.69736815,"5299 VT2P"
"15","2018-05-20T13:20:20.200Z",-97.600408448089,44.0953798030168,24483.48135552,2.5,4.96189213,92.7586972,25999.95644395,25997.0056575,1519.84828679,"5299 VT2P"
"16","2018-05-20T13:20:21.200Z",-97.6003820512309,44.095375667136,24086.8894261267,2.5,7.09443806,90.7586972,25999.95644395,25997.0056575,1519.9893629,"5299 VT2P"
"17","2018-05-20T13:20:22.200Z",-97.6003559779812,44.0953763752387,23996.50963269,2.5,6.93039606,90.8386972,25999.95644395,25997.0056575,1520.21246001,"5299 VT2P"
"18","2018-05-20T13:20:23.200Z",-97.6003298690322,44.095377295941,24282.4874865433,2.5,6.89758766,90.4886972,25999.95644395,25997.0056575,1520.30432353,"5299 VT2P"
"19","2018-05-20T13:20:24.200Z",-97.6003058640967,44.0953752132224,24549.58001042,2.5,6.37265328,88.7386972,25999.95644395,25997.0056575,1520.43555713,"5299 VT2P"
"20","2018-05-20T13:20:25.200Z",-97.6002782216899,44.0953762062058,24774.85501793,2.5,7.29128845,89.8186972,25999.95644395,25997.0056575,1520.52085896,"5299 VT2P"
"21","2018-05-20T13:20:26.200Z",-97.6002521682868,44.0953767976855,24950.2187962367,2.5,6.86477926,90.4686972,25999.95644395,25997.0056575,1520.68490096,"5299 VT2P"
"22","2018-05-20T13:20:27.200Z",-97.6002277650049,44.0953769870925,25422.3520455167,2.5,6.43827008,90.8986972,25999.95644395,25997.0056575,1520.63568836,"5299 VT2P"
"23","2018-05-20T13:20:28.200Z",-97.6001994427874,44.0953765701482,25543.75773819,2.5,7.48813884,90.4286972,25999.95644395,25997.0056575,1520.6717776,"5299 VT2P"
"24","2018-05-20T13:20:29.200Z",-97.600173191332,44.0953766388326,25616.60115379,2.5,6.89758766,90.8786972,25999.95644395,25997.0056575,1520.73411356,"5299 VT2P"
"25","2018-05-20T13:20:30.200Z",-97.6001461930931,44.0953768424755,25489.7996525567,2.5,7.09443806,91.3286972,25999.95644395,25997.0056575,1520.72427104,"5299 VT2P"
"26","2018-05-20T13:20:31.200Z",-97.6001112811489,44.0953769768169,25535.6640253433,2.5,9.16136719,91.6486972,25999.95644395,25997.0056575,1520.6553734,"5299 VT2P"
"27","2018-05-20T13:20:32.200Z",-97.6000801379485,44.0953754480266,25717.7725643533,2.5,8.20992362,91.4786972,25999.95644395,25997.0056575,1520.56350988,"5299 VT2P"
"28","2018-05-20T13:20:33.200Z",-97.6000500776375,44.0953752387314,25733.95999004,2.5,7.91464803,92.3886972,25999.95644395,25997.0056575,1520.48805057,"5299 VT2P"
"29","2018-05-20T13:20:34.200Z",-97.6000162934926,44.0953750295815,26005.0993703433,2.5,8.8989,93.1786972,25333.3042959667,25330.6232999433,1520.48148889,"5299 VT2P"
"30","2018-05-20T13:20:35.200Z",-97.599984566273,44.0953739109168,26018.58889175,2.5,8.40677402,92.6286972,25333.3042959667,25330.6232999433,1520.50117393,"5299 VT2P"
"31","2018-05-20T13:20:36.200Z",-97.5999546273165,44.0953744818189,26123.8071587333,2.5,7.94745643,92.6586972,25333.3042959667,25330.6232999433,1520.35025529,"5299 VT2P"
"32","2018-05-20T13:20:37.200Z",-97.5999195338476,44.0953717252438,25725.8662772,2.5,9.29260079,90.6486972,24666.6521479833,24664.2409423867,1520.23870673,"5299 VT2P"
"33","2018-05-20T13:20:38.200Z",-97.5998884402515,44.0953707687116,25631.43962734,2.5,8.17711522,92.0086972,24666.6521479833,24664.2409423867,1520.23542589,"5299 VT2P"
"34","2018-05-20T13:20:39.200Z",-97.5998588754813,44.0953718732416,25565.3409724433,2.5,7.71779764,97.1586972,24666.6521479833,24664.2409423867,1520.07794558,"5299 VT2P"
"35","2018-05-20T13:20:40.200Z",-97.5998249221692,44.095371696041,25493.84650898,2.5,8.8660916,102.3286972,24666.6521479833,24664.2409423867,1520.08450726,"5299 VT2P"
"36","2018-05-20T13:20:41.200Z",-97.5997932589064,44.0953683368089,25381.8834812933,2.5,8.43958241,104.0086972,24666.6521479833,24664.2409423867,1520.04185634,"5299 VT2P"
"37","2018-05-20T13:20:42.200Z",-97.5997645439322,44.0953629938097,25438.5394712067,2.5,7.81622283,103.1086972,24666.6521479833,24664.2409423867,1520.03201382,"5299 VT2P"
"38","2018-05-20T13:20:43.201Z",-97.599732071346,44.095357549955,25385.9303377167,2.5,8.8332832,99.9586972,24666.6521479833,24664.2409423867,1519.99920542,"5299 VT2P"
"39","2018-05-20T13:20:44.200Z",-97.5997024734499,44.0953513808542,24634.56399529,2.5,8.07869003,95.9986972,24000,23997.85858483,1520.01889046,"5299 VT2P"
"40","2018-05-20T13:20:45.200Z",-97.5996733226462,44.0953467798918,24534.7415368733,2.5,7.81622283,93.1186972,24000,23997.85858483,1519.94671198,"5299 VT2P"
"41","2018-05-20T13:20:46.200Z",-97.5996397401304,44.0953446293766,24530.6946804467,2.5,8.8660916,90.3986972,24000,23997.85858483,1519.97952038,"5299 VT2P"
"42","2018-05-20T13:20:47.200Z",-97.5996084522091,44.0953445667961,24324.3050029067,2.5,8.27554042,87.4286972,24000,23997.85858483,1519.81547839,"5299 VT2P"
"43","2018-05-20T13:20:48.201Z",-97.5995806195917,44.0953450891896,24327.0029071867,2.5,7.32409685,82.3886972,24000,23997.85858483,1519.75642327,"5299 VT2P"
"44","2018-05-20T13:20:49.200Z",-97.5995483904588,44.0953450021374,24424.1274613233,2.5,8.50519921,78.2086972,24000,23997.85858483,1519.89093771,"5299 VT2P"
"45","2018-05-20T13:20:50.201Z",-97.5995163368923,44.0953492464547,24418.73165276,2.5,8.57081601,78.8886972,24000,23997.85858483,1519.87781435,"5299 VT2P"
"46","2018-05-20T13:20:51.200Z",-97.5994828844799,44.0953567285924,24148.9412246033,2.5,9.19417559,82.0686972,24000,23997.85858483,1520.06482222,"5299 VT2P"
"47","2018-05-20T13:20:52.200Z",-97.5994489588706,44.0953636454668,24023.4886755067,2.5,9.32540919,85.7386972,24666.6521479833,24664.2409423867,1520.19277498,"5299 VT2P"
"48","2018-05-20T13:20:53.201Z",-97.5994152572692,44.0953642716385,24233.9252094733,2.5,9.0301336,86.9386972,24666.6521479833,24664.2409423867,1520.13371986,"5299 VT2P"
"49","2018-05-20T13:20:54.200Z",-97.5993837363572,44.095368009368,24540.1373454367,2.5,8.34115722,90.5386972,24666.6521479833,24664.2409423867,1520.33385109,"5299 VT2P"
"50","2018-05-20T13:20:55.201Z",-97.599349823238,44.0953704998477,24710.1053151767,2.5,8.9973252,92.0086972,24666.6521479833,24664.2409423867,1520.49789309,"5299 VT2P"
"51","2018-05-20T13:20:56.200Z",-97.5993158648272,44.0953690439273,24331.04976361,2.5,9.29260079,92.5786972,25999.95644395,25997.0056575,1520.64881172,"5299 VT2P"
"52","2018-05-20T13:20:57.200Z",-97.5992800910192,44.0953676357624,24530.6946804467,2.5,9.45664278,92.9086972,25999.95644395,25997.0056575,1520.71770936,"5299 VT2P"
"53","2018-05-20T13:20:58.201Z",-97.5992456423881,44.095366238709,24939.42717911,2.5,9.06294199,92.2586972,25999.95644395,25997.0056575,1521.08188259,"5299 VT2P"
"54","2018-05-20T13:20:59.200Z",-97.5992122557883,44.0953661194127,25362.9981513233,2.5,8.8989,92.3486972,25999.95644395,25997.0056575,1521.26889046,"5299 VT2P"
"55","2018-05-20T13:21:00.200Z",-97.5991788570459,44.0953639561805,25690.7935215367,2.5,8.9645168,91.0686972,25999.95644395,25997.0056575,1521.59041277,"5299 VT2P"
"56","2018-05-20T13:21:01.201Z",-97.5991459791853,44.0953622057617,25796.01178852,2.5,8.66924121,90.3086972,25999.95644395,25997.0056575,1521.85944164,"5299 VT2P"
"57","2018-05-20T13:21:02.200Z",-97.5991132258296,44.0953627174477,25899.88110336,2.5,8.63643281,91.5286972,25999.95644395,25997.0056575,1522.11862799,"5299 VT2P"
"58","2018-05-20T13:21:03.200Z",-97.5990801098082,44.0953629551725,25980.8182318067,2.5,8.734858,91.6186972,25999.95644395,25997.0056575,1522.10550463,"5299 VT2P"
"59","2018-05-20T13:21:04.200Z",-97.5990479820421,44.0953611792136,26014.54203533,2.5,8.50519921,91.0686972,25999.95644395,25997.0056575,1522.48280122,"5299 VT2P"
"60","2018-05-20T13:21:05.200Z",-97.599016805606,44.0953618881074,26092.7812594933,2.5,8.20992362,91.5386972,25999.95644395,25997.0056575,1522.84041277,"5299 VT2P"
"61","2018-05-20T13:21:06.200Z",-97.5989881816429,44.0953612646796,26265.44713352,2.5,7.55375564,90.9186972,25999.95644395,25997.0056575,1523.01429729,"5299 VT2P"
"62","2018-05-20T13:21:07.200Z",-97.5989562971082,44.0953608039558,26528.4928009733,2.5,8.37396562,90.8286972,25999.95644395,25997.0056575,1523.1881818,"5299 VT2P"
"63","2018-05-20T13:21:08.201Z",-97.5989269103621,44.0953615852194,26617.5236422667,2.5,7.84903123,92.3286972,25999.95644395,25997.0056575,1523.45392983,"5299 VT2P"
"64","2018-05-20T13:21:09.200Z",-97.5989020397466,44.0953611401363,28534.3846343433,2.5,6.56950367,92.5486972,25999.95644395,25997.0056575,1523.45392983,"5299 VT2P"
"65","2018-05-20T13:21:10.200Z",-97.5988710078039,44.0953602120695,28783.94078039,2.5,8.20992362,92.2786972,27500.12611973,27498.38939021,1523.43424479,"5299 VT2P"
"66","2018-05-20T13:21:11.201Z",-97.5988427205063,44.0953591732786,28158.02698706,2.5,7.45533045,92.2186972,27500.12611973,27498.38939021,1523.47689571,"5299 VT2P"
"67","2018-05-20T13:21:12.201Z",-97.598814400989,44.0953588686321,27955.6841659367,2.5,7.45533045,92.6986972,27500.12611973,27498.38939021,1523.43096395,"5299 VT2P"
"68","2018-05-20T13:21:13.200Z",-97.5987867622784,44.0953578250383,27834.2784732667,2.5,7.29128845,92.9586972,27500.12611973,27498.38939021,1523.45721067,"5299 VT2P"
"69","2018-05-20T13:21:14.200Z",-97.5987588409822,44.0953568764931,27839.67428183,2.5,7.35690525,93.1086972,27500.12611973,27498.38939021,1523.48017655,"5299 VT2P"
