"","Group.1","X","Y","VRYIELDVOL","SWATHWIDTH","DISTANCE","Heading","WetMass","Moisture","Swaths"
"1","2016-10-09T22:28:01.000Z",-97.6002583518695,44.088315562349,15.73305262,35,2.89638349,90.95311737,881.01027065,12.4,1
"2","2016-10-09T22:28:02.003Z",-97.6002477588694,44.088315444349,6.65469982,35,2.79795829,90.93311737,372.6459848,12.4,1
"3","2016-10-09T22:28:03.000Z",-97.6002406048694,44.0883151283496,0,35,1.87932312,91.18311737,0,12.4,1
"4","2016-10-09T22:28:04.001Z",-97.6002380628694,44.0883151373494,2.20910572,35,0.66541236,91.08311737,123.70420879,12.4,1
"5","2016-10-09T22:28:04.996Z",-97.6002360468694,44.0883150663495,0,35,0.53417877,91.15311737,0,12.4,1
"6","2016-10-09T22:28:06.000Z",-97.6002356420686,44.0883287678234,0,15,0.23890318,91.16311737,0,12.4,2
"7","2016-10-09T22:28:06.999Z",-97.600247341585,44.088274083824,0,5,2.33864071,91.08311737,0,12.4,1
"8","2016-10-09T22:28:30.000Z",-97.6003570750712,44.0883615858816,164.48233069,10,2.47105976,15.22124237,9210.58526541,12.4,1
"9","2016-10-09T22:28:31.000Z",-97.6003365442285,44.0883652517404,99.19740433,20,2.93037735,14.22124237,5554.79817698,12.4,1
"10","2016-10-09T22:28:32.002Z",-97.600309076452,44.0883684969381,49.15337269,35,3.16003614,10.26124237,2752.46178907,12.4,1
"11","2016-10-09T22:28:32.993Z",-97.6003113084351,44.0883769929363,51.47924206,35,3.16003614,5.01124237,2882.70446047,12.4,1
"12","2016-10-09T22:28:33.999Z",-97.6003140264194,44.0883872009356,43.38595372,35,3.78339572,0.14124237,2429.50123828,12.4,1
"13","2016-10-09T22:29:03.992Z",-97.6003780517719,44.0883719442256,180.61638925,10,2.93037735,315.67590698,10191.98957547,15.65,1
"14","2016-10-09T22:29:04.994Z",-97.6003942424246,44.0883705058001,137.11367742,15,3.06161095,311.61590698,7737.17809703,15.65,1
"15","2016-10-09T22:29:05.995Z",-97.6004012920961,44.0883805977337,107.35602572,20,4.17709651,307.40590698,6057.98565416,15.65,1
"16","2016-10-09T22:52:12.009Z",-97.6003271844206,44.0905414259361,68.18614831,35,6.53930123,0.58906247,3818.24801652,13.67,1
"17","2016-10-09T22:52:13.018Z",-97.6003279974169,44.0905594469361,62.40318677,35,6.57210963,359.47653198,3494.41712187,13.67,1
"18","2016-10-09T22:52:14.013Z",-97.6003284154164,44.0905773969361,70.58390298,35,6.53930123,359.32653198,3952.51607864,13.67,1
"19","2016-10-09T22:52:15.018Z",-97.600328364418,44.0905953259361,67.43684998,35,6.53930123,359.80653198,3776.28924711,13.67,1
"20","2016-10-09T22:52:16.011Z",-97.6003288504167,44.0906126019361,66.08622142,35,6.30964244,359.38653198,3700.65753977,13.67,1
"21","2016-10-09T22:52:17.014Z",-97.6003284924187,44.0906298749361,63.98947879,35,6.30964244,0.0234375,3583.24537341,13.67,1
"22","2016-10-09T22:52:18.011Z",-97.6003276984219,44.0906472569362,61.9588529,35,6.34245084,1.0134375,3469.53557358,13.67,1
"23","2016-10-09T22:52:19.011Z",-97.6003276184214,44.0906645019361,62.52849561,35,6.27683404,0.8434375,3501.43409279,13.67,1
"24","2016-10-09T22:52:20.013Z",-97.6003276934199,44.0906818529361,60.33959347,35,6.30964244,0.4034375,3378.86123196,13.67,1
"25","2016-10-09T22:52:21.015Z",-97.6003281104179,44.0906991579361,62.82462177,35,6.30964244,359.78903198,3518.0163921,13.67,1
"26","2016-10-09T22:52:22.020Z",-97.6003274044208,44.0907163319361,66.27552157,35,6.27683404,0.65624994,3711.25785865,13.67,1
