"","Group.1","X","Y","VRYIELDVOL","SWATHWIDTH","DISTANCE","Heading","WetMass","Moisture","Swaths"
"1","2013-10-01T01:53:58.000Z",-97.6002719786392,44.0883314484247,0,35,6.30592086,93.16405487,0,8.55,1
"2","2013-10-01T01:53:58.993Z",-97.6002527686391,44.0883316014203,0,35,5.0592017,91.29405487,0,8.55,1
"3","2013-10-01T01:54:00.002Z",-97.600236136639,44.0883319544172,0,35,4.37022532,89.96405487,0,8.55,1
"4","2013-10-01T01:54:01.002Z",-97.6002195096391,44.0883313754206,0,35,4.37022532,91.42405487,0,15.67,1
"5","2013-10-01T01:54:01.991Z",-97.6002025396392,44.0883305044239,0,35,4.46865052,92.84405487,0,15.67,1
"6","2013-10-01T01:54:02.998Z",-97.6001853836391,44.0883296534254,0,35,4.53426732,93.48405487,0,15.67,1
"7","2013-10-01T01:54:03.998Z",-97.6001683506391,44.088328918426,0,35,4.46865052,93.73405487,0,15.67,1
"8","2013-10-01T01:54:05.003Z",-97.6001513736391,44.0883280704266,22.41453677,35,4.46865052,94.00405487,1387.6799091,15.67,1
"9","2013-10-01T01:54:05.995Z",-97.600134143639,44.0883270994267,32.45080817,35,4.53426732,94.06405487,2009.02365221,15.67,1
"10","2013-10-01T01:54:07.004Z",-97.6001171336389,44.0883257454293,42.13907826,35,4.50145892,95.12405487,2608.82269792,15.67,1
"11","2013-10-01T01:54:07.993Z",-97.6001001846382,44.0883233524358,35.9695705,35,4.53426732,97.93405487,2226.86959041,15.67,1
"12","2013-10-01T01:54:08.995Z",-97.6000835336377,44.0883209894388,31.04291532,35,4.46865052,99.24405487,1921.86126137,15.67,1
"13","2013-10-01T01:54:09.996Z",-97.6000665316376,44.0883189164396,26.09748729,35,4.53426732,99.59405487,1615.69070826,15.67,1
"14","2013-10-01T01:54:11.000Z",-97.600049209638,44.0883172014374,23.50918045,35,4.59988411,98.60405487,1455.44910054,15.67,1
"15","2013-10-01T01:54:11.996Z",-97.6000313156385,44.0883159614337,27.35354709,35,4.73111771,97.02405487,1693.45314244,15.67,1
"16","2013-10-01T01:54:12.999Z",-97.6000136646389,44.0883152484294,36.92737041,35,4.63269251,95.21405487,2286.16680906,15.67,1
"17","2013-10-01T01:54:13.997Z",-97.5999970196391,44.0883148794256,44.21577218,35,4.37022532,93.56405487,2737.39044176,15.67,1
"18","2013-10-01T01:54:14.998Z",-97.5999805846391,44.088314623423,43.44835551,35,4.30460852,92.45405487,2689.87981468,15.67,1
"19","2013-10-01T01:54:15.995Z",-97.5999638676391,44.0883145054203,38.95412981,35,4.40303372,91.29405487,2411.64311645,15.67,1
"20","2013-10-01T01:54:17.000Z",-97.5999472826391,44.0883142334207,41.32615236,35,4.37022532,91.46405487,2479.97528554,4,1
"21","2013-10-01T01:54:17.999Z",-97.5999305376391,44.0883138564209,37.07216168,35,4.40303372,91.54405487,2224.69403765,4,1
"22","2013-10-01T01:54:19.004Z",-97.5999124736391,44.0883130164233,30.61662905,35,4.76392611,92.60405487,1837.29863587,4,1
"23","2013-10-01T01:54:19.994Z",-97.5998942986391,44.0883123424236,23.92542967,35,4.79673451,92.71405487,1435.76091361,4,1
"24","2013-10-01T01:54:20.995Z",-97.5998762986391,44.0883121454214,19.52177585,35,4.73111771,91.79405487,1171.49840676,4,1
"25","2013-10-01T01:54:21.998Z",-97.599857003639,44.0883123614185,18.4365595,35,5.0592017,90.54405487,1106.37475997,4,1
"26","2013-10-01T01:54:22.997Z",-97.5998369076389,44.0883127784159,17.8088885,35,5.28886049,89.40405487,1068.70833155,4,1
"27","2013-10-01T01:54:23.998Z",-97.5998166596387,44.0883134864134,14.43421394,35,5.32166889,88.36405487,866.19469243,4,1
