"","Group.1","Longitude","Latitude","Distance.ft.","Swth.Wdth.ft.","Yld.Vol.Dry..bu.ac.","Yld.Mass.Wet..lb.ac.","Moisture...","Hding.Veh.deg.","Field","Dataset","Product","Swaths"
"1","9/25/2013 1:49:42 AM",-97.5913362,44.095571465,0.035,5,0,0,14.09,3.094,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"2","9/25/2013 1:49:43 AM",-97.5913361633333,44.09557136,0.101,5,0,0,14.09,3.094,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"3","9/25/2013 1:49:44 AM",-97.591336055,44.09557158,0.166,5,0,0,14.09,3.094,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"4","9/25/2013 1:49:45 AM",-97.5913356833333,44.09557465,1.118,5,0,0,14.09,3.734,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"5","9/25/2013 1:49:46 AM",-97.5913350966667,44.0955797566667,1.873,5,0,0,14.09,4.614,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"6","9/25/2013 1:49:47 AM",-97.591332515,44.0955874066667,2.857,5,0,0,14.09,7.074,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"7","9/25/2013 1:49:48 AM",-97.5913323566667,44.09558972,0.855,5,0,0,14.09,6.724,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"8","9/25/2013 1:49:49 AM",-97.5913321316667,44.095593235,1.282,5,0,0,15.03,6.264,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"9","9/25/2013 1:49:50 AM",-97.5913318,44.0955974916667,1.544,5,0,0,15.03,6.254,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"10","9/25/2013 1:49:51 AM",-97.59133152,44.09560292,1.971,5,0,0,15.03,5.684,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"11","9/25/2013 1:49:52 AM",-97.591331145,44.09560977,2.496,5,36.83,2046.6,15.03,5.064,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"12","9/25/2013 1:49:53 AM",-97.591331095,44.095616945,2.627,5,97.93,5441.7,15.03,4.164,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"13","9/25/2013 1:49:54 AM",-97.5913306266667,44.0956270466667,3.677,5,119.13,6619.8,15.03,3.484,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"14","9/25/2013 1:49:55 AM",-97.591330035,44.09563997,4.727,5,107.55,5976.3,15.03,2.834,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"15","9/25/2013 1:49:56 AM",-97.5913295883333,44.0956531833333,4.825,5,117.88,6550.7,15.03,2.474,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"16","9/25/2013 1:49:57 AM",-97.59132914,44.0956662783333,4.76,5,122.88,6828.3,15.03,1.894,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"17","9/25/2013 1:49:58 AM",-97.5913284933333,44.09567929,4.76,5,125.34,6965.1,15.03,1.894,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"18","9/25/2013 1:49:59 AM",-97.5913281816667,44.0956921766667,4.694,5,127.09,7062.5,15.03,1.574,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"19","9/25/2013 1:50:00 AM",-97.5913277,44.09570518,4.727,5,139.26,7738.8,15.03,1.474,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"20","9/25/2013 1:50:01 AM",-97.591327265,44.0957180316667,4.694,5,140.24,7792.9,15.03,1.324,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"21","9/25/2013 1:50:02 AM",-97.5913272516667,44.095730925,4.694,5,158.24,8793.4,15.03,0.894,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"22","9/25/2013 1:50:03 AM",-97.591327345,44.0957434633333,4.563,5,162.8,9046.4,15.03,0.344,"Stevens East","Stevens East-Corn","5514VT3  95day",6
"23","9/25/2013 1:50:04 AM",-97.5913275566667,44.09575604,4.596,5,164.97,9414.4,17.26,0.024,"Stevens East","Stevens East-Corn","5514VT3  95day",6
