"","Group.1","Longitude","Latitude","Distance.ft.","Swth.Wdth.ft.","Yld.Vol.Dry..bu.ac.","Yld.Mass.Wet..lb.ac.","Moisture...","Hding.Veh.deg.","Field","Dataset","Product","Swaths"
"1","9/27/2014 11:23:31 PM",-97.5936825416667,44.09558977,2.943,5.733,0,0,0,22.08,"Stevens East","Stevens East-Soybeans","1500RR",6
"2","9/27/2014 11:23:32 PM",-97.593679045,44.0955972066667,2.877,5.733,0,0,0,21.63,"Stevens East","Stevens East-Soybeans","1500RR",6
"3","9/27/2014 11:23:33 PM",-97.5936755,44.0956037566667,2.582,5.733,0,0,0,21.31,"Stevens East","Stevens East-Soybeans","1500RR",6
"4","9/27/2014 11:23:34 PM",-97.593673345,44.09560851,1.827,5.733,0,0,0,20.6,"Stevens East","Stevens East-Soybeans","1500RR",6
"5","9/27/2014 11:23:35 PM",-97.5936721116667,44.0956116983333,1.204,5.733,0,0,0,19.92,"Stevens East","Stevens East-Soybeans","1500RR",6
"6","9/27/2014 11:23:36 PM",-97.5936719033333,44.09561222,0.285,5.733,0,0,0,19.92,"Stevens East","Stevens East-Soybeans","1500RR",6
"7","9/27/2014 11:23:37 PM",-97.5936708783333,44.0956145516667,0.909,5.733,0,0,0,19.58,"Stevens East","Stevens East-Soybeans","1500RR",6
"8","9/27/2014 11:23:38 PM",-97.593669345,44.0956186866667,1.565,5.733,0,0,0,18.92,"Stevens East","Stevens East-Soybeans","1500RR",6
"9","9/27/2014 11:23:39 PM",-97.5936683383333,44.09562305,1.598,5.733,0,0,0,17.43,"Stevens East","Stevens East-Soybeans","1500RR",6
"10","9/27/2014 11:23:40 PM",-97.5936676033333,44.0956251116667,0.777,5.733,0,0,0,17.17,"Stevens East","Stevens East-Soybeans","1500RR",6
"11","9/27/2014 11:23:41 PM",-97.5936669733333,44.095629585,1.63,5.733,47.94,2876.8,0,15.55,"Stevens East","Stevens East-Soybeans","1500RR",6
"12","9/27/2014 11:23:42 PM",-97.5936659916667,44.0956346366667,1.86,5.733,69.28,4157.6,0,14.56,"Stevens East","Stevens East-Soybeans","1500RR",6
"13","9/27/2014 11:23:43 PM",-97.5936650783333,44.0956402866667,2.09,5.733,72.13,4328.5,0,13.27,"Stevens East","Stevens East-Soybeans","1500RR",6
"14","9/27/2014 11:23:44 PM",-97.5936640166667,44.09564606,2.122,5.733,99.07,5945.2,0,12.28,"Stevens East","Stevens East-Soybeans","1500RR",6
"15","9/27/2014 11:23:45 PM",-97.593663055,44.0956531983333,2.615,5.733,72.77,4367.1,0,10.79,"Stevens East","Stevens East-Soybeans","1500RR",6
"16","9/27/2014 11:23:46 PM",-97.5936618333333,44.0956618233333,3.172,5.733,62.47,3748.9,0,9.318,"Stevens East","Stevens East-Soybeans","1500RR",6
"17","9/27/2014 11:23:47 PM",-97.5936606233333,44.0956723133333,3.828,5.733,78.25,4696,0,8.188,"Stevens East","Stevens East-Soybeans","1500RR",6
"18","9/27/2014 11:23:48 PM",-97.5936592833333,44.09568325,3.993,5.733,67.46,4048.5,0,6.888,"Stevens East","Stevens East-Soybeans","1500RR",6
"19","9/27/2014 11:23:49 PM",-97.5936580516667,44.0956940966667,3.96,5.733,67.79,4068,0,6.168,"Stevens East","Stevens East-Soybeans","1500RR",6
"20","9/27/2014 11:23:50 PM",-97.5936569733333,44.0957049166667,3.96,5.733,48.64,2918.8,0,5.768,"Stevens East","Stevens East-Soybeans","1500RR",6
"21","9/27/2014 11:23:51 PM",-97.5936565133333,44.095716065,4.058,5.733,55.37,3322.7,0,4.548,"Stevens East","Stevens East-Soybeans","1500RR",6
"22","9/27/2014 11:23:52 PM",-97.593655645,44.0957291183333,4.78,5.733,53.24,3194.7,0,3.878,"Stevens East","Stevens East-Soybeans","1500RR",6
"23","9/27/2014 11:23:53 PM",-97.5936552833333,44.0957438783333,5.37,5.733,51.28,3077.3,0,2.768,"Stevens East","Stevens East-Soybeans","1500RR",6
"24","9/27/2014 11:23:54 PM",-97.5936542716667,44.09575855,5.37,5.733,51.97,3118.9,0,2.768,"Stevens East","Stevens East-Soybeans","1500RR",6
"25","9/27/2014 11:23:55 PM",-97.5936541583333,44.095774615,5.863,5.733,43.33,2600,0,1.968,"Stevens East","Stevens East-Soybeans","1500RR",6
"26","9/27/2014 11:23:56 PM",-97.59365463,44.09579046,5.764,5.733,43.58,2615.3,0,0.628,"Stevens East","Stevens East-Soybeans","1500RR",6
"27","9/27/2014 11:23:57 PM",-97.593654885,44.095805805,5.6,5.733,49.93,2996,0,0.238,"Stevens East","Stevens East-Soybeans","1500RR",6
"28","9/27/2014 11:23:58 PM",-97.5936551733333,44.095820785,5.469,5.733,51.89,3113.9,0,359.8,"Stevens East","Stevens East-Soybeans","1500RR",6
"29","9/27/2014 11:23:59 PM",-97.5936555966667,44.0958353666667,5.305,5.733,48.14,2889.1,0,359.8,"Stevens East","Stevens East-Soybeans","1500RR",6
"30","9/27/2014 11:24:00 PM",-97.59365603,44.095850365,5.469,5.733,42.19,2531.9,0,359.66,"Stevens East","Stevens East-Soybeans","1500RR",6
"31","9/27/2014 11:24:01 PM",-97.59365566,44.09586586,5.666,5.733,40.64,2439,0,0.656,"Stevens East","Stevens East-Soybeans","1500RR",6
"32","9/27/2014 11:24:02 PM",-97.59365606,44.0958812783333,5.633,5.733,41.62,2497.8,0,359.98,"Stevens East","Stevens East-Soybeans","1500RR",6
"33","9/27/2014 11:24:03 PM",-97.59365548,44.0958965183333,5.567,5.733,46.63,2798,0,0.711,"Stevens East","Stevens East-Soybeans","1500RR",6
"34","9/27/2014 11:24:04 PM",-97.5936551383333,44.09591119,5.338,5.733,49.59,2976,0,1.061,"Stevens East","Stevens East-Soybeans","1500RR",6
"35","9/27/2014 11:24:05 PM",-97.5936551066667,44.0959266016667,5.633,5.733,47.74,2864.6,0,0.681,"Stevens East","Stevens East-Soybeans","1500RR",6
"36","9/27/2014 11:24:06 PM",-97.5936552716667,44.09594217,5.666,5.733,51.4,3084.5,0,0.241,"Stevens East","Stevens East-Soybeans","1500RR",6
"37","9/27/2014 11:24:07 PM",-97.5936562333333,44.0959579533333,5.764,5.733,45.84,2750.9,0,359.3,"Stevens East","Stevens East-Soybeans","1500RR",6
